Studio.App.AutoSaveDialog.DeleteAllAutoSaves1,,,Do you want to delete all auto-save files?  There are %1 file(s).,Do you want to delete all auto-save files?  There are %1 file(s).,هل تريد حذف جميع ملفات الحفظ التلقائي؟ يوجد %1 (ملف).,Möchtest du alle automatisch gespeicherten Dateien löschen? %1 Datei(en) vorhanden.,¿Quieres eliminar todos los archivos de guardado automático?  Hay %1 archivo(s).,Voulez-vous supprimer tous les fichiers de sauvegarde automatique ? Il y en a %1.,Kamu ingin menghapus semua file simpan otomatis? Ada %1 file.,Vuoi eliminare tutti i file di autosalvataggio? Numero di file: %1.,自動保存ファイルをすべて削除しますか。 %1 件のファイルがあります。,자동 저장 파일을 모두 삭제할까요?  파일 %1개가 있습니다.,Czy chcesz usunąć wszystkie pliki autozapisu? Jest ich %1.,Deseja excluir todos os arquivos de salvamento automático? Há %1 arquivo(s).,Удалить все автоматически сохраненные файлы? Будет удалено файлов: %1.,คุณต้องการลบไฟล์ทั้งหมดที่บันทึกโดยอัตโนมัติหรือไม่? ทั้งหมดมีอยู่ %1 ไฟล์,Tüm otomatik kayıt dosyaları silinsin mi? Toplam %1 dosya var.,Bạn có muốn xóa tất cả các tệp tự động lưu không? Có %1 tệp.,确定要删除所有自动保存的文件吗? 一共有 %1 个文件。,确定要删除所有自动保存的文件吗? 一共有 %1 个文件。,確定要刪除所有自動儲存檔案嗎？一共有 %1 個檔案。
Studio.App.AutoSave.AutoSaveRecovery,,,Auto-Save Recovery,Auto-Save Recovery,الحفظ التلقائي للاسترداد,Automatische Speicherung wiederherstellen,Recuperación de guardado automático,Récupération de sauvegarde automatique,Pemulihan Simpan Otomatis,Ripristino autosalvataggio,自動保存復元,자동 저장 복구,Odzyskiwanie autozapisu,Recuperação de salvamento automático,Восстановление автоматически сохраненных файлов,การกู้คืนการบันทึกอัตโนมัติ,Otomatik Kayıt Kurtarma,Khôi Phục Tệp Tự Động Lưu,自动保存恢复,自动保存恢复,自動儲存復原
Studio.App.AutocompleteMenu.MoreChildrenItemTextFmt1,,,%1 more children...,%1 more children...,%1 المزيد من العناصر الفرعية...,%1 weitere untergeordnete Elemente …,%1 hijos más...,%1 enfants supplémentaires...,%1 anak lagi...,Altri %1 figli...,あと %1 件の子...,추가 하위 아이템 %1개...,Elementy podrzędne: jeszcze %1...,%1 crianças a mais...,Еще 1% детей...,รายการย่อยเพิ่มเติม %1 รายการ...,%1 alt öğe daha...,Còn %1 bộ phận phụ nữa...,还有 %1 个子集...,还有 %1 个子集...,還有 %1 個子項目……
Studio.App.AutocompleteTooltip.FunctionNumberLabelTextFmt2,,,%1 of %2,%1 of %2,%1 من %2,%1 von %2,%1 de %2,%1 sur %2,%1 dari %2,%1 di %2,%1/%2,%1/%2,%1 z %2,%1 de %2,%1 из %2,%1 จาก %2,%1/%2,%1 trong số %2,%1/%2,%1/%2,%1/%2
Studio.App.BetaFeatures.BetaFeatures,,,Beta Features,Beta Features,ميزات بيتا,Beta-Funktionen,Funciones beta,Fonctionnalités bêta,Fitur Beta,Funzionalità beta,ベータ機能,베타 기능,Funkcje beta,Funcionalidades beta,Бета-функционал,คุณสมบัติรุ่นเบต้า,Beta Özellikler,Tính Năng Beta,Beta 测试版功能,Beta 测试版功能,Beta 測試功能
Studio.App.BetaFeatures.CloudLoadFailedFmt1,,,Failed to load beta features from cloud: %1,Failed to load beta features from cloud: %1,تعذر تحميل ميزات بيتا من السحابة: %1,Fehler beim Laden der Beta-Funktionen aus der Cloud: %1,Error al cargar las funciones beta de la nube: %1,Impossible de charger les fonctionnalités bêta depuis le cloud : %1,Gagal memuat fitur beta dari cloud: %1,Impossibile caricare le funzionalità beta dal cloud: %1,クラウドからベータ機能が読み込めませんでした: %1,클라우드에서 베타 기능을 불러오지 못했습니다: %1,Nie udało się wczytać funkcji beta z chmury: %1,Falha ao carregar funcionalidades beta a partir da nuvem: %1,Не удалось загрузить бета-функционал из облака: %1,โหลดคุณสมบัติรุ่น Beta จากคลาวด์ไม่สำเร็จ: %1,Beta özellikler buluttan yüklenemedi: %1,Không tải được các tính năng beta từ đám mây: %1,从云端加载 Beta 测试版功能失败: %1,从云端加载 Beta 测试版功能失败: %1,從雲端載入 Beta 測試功能失敗：%1
Studio.App.BetaFeatures.CloudReloadPrompt,,,Beta features enabled for this account differ from those saved locally. Updated Beta features will not be available until you restart Studio.,Beta features enabled for this account differ from those saved locally. Updated Beta features will not be available until you restart Studio.,ميزات بيتا التي تم تفعيلها لهذا الحساب تختلف عن تلك المحفوظة محليًا. لن تكون ميزات بيتا المحدثة متاحة إلا بعد إعادة تشغيل Studio.,Die für dieses Konto aktivierten Beta-Funktionen entsprechen nicht den lokal gespeicherten. Die aktualisierten Beta-Funktionen sind erst nach dem Neustart von Studio verfügbar.,Las funciones beta activadas para esta cuenta difieren de aquellas guardadas localmente. Las funciones beta actualizadas no estarán disponibles hasta que se reinicie Studio.,Les fonctionnalités bêta activées pour ce compte diffèrent des fonctionnalités enregistrées localement. Les fonctionnalités bêta mises à jour ne seront disponibles que lors du redémarrage de Studio.,Fitur Beta yang diaktifkan untuk akun ini berbeda dengan yang disimpan secara lokal. Fitur Beta terbaru tidak akan tersedia sampai kamu memulai ulang Studio.,Le funzionalità beta abilitate per questo account sono diverse da quelle salvate localmente. Le funzionalità beta aggiornate non saranno disponibili se non riavvii Studio.,このアカウントが有効化したベータ機能は、ローカル保存されたものとは異なります。更新済みのベータ機能は、Studioが再起動した後でなければ入手できません。,이 계정에 대해 활성화되어 있는 베타 기능이 로컬에 저장되어 있는 베타 기능과 다릅니다. 업데이트된 베타 기능은 Studio를 다시 시작할 때까지 사용할 수 없습니다.,Funkcje beta włączone dla tego konta różnią się od tych zapisanych lokalnie. Zaktualizowane funkcje beta nie będą dostępne do czasu ponownego uruchomienia aplikacji Studio.,As funcionalidades beta ativadas para esta conta são diferentes das salvas localmente. As funcionalidades beta atualizadas não estarão disponíveis até que o Studio seja reiniciado.,"В профиле пользователя включен бета-функционал, отличный от того, что сохранен локально. Перезапустите студию, чтобы получить доступ к обновленному набору бета-функций.",คุณสมบัติรุ่นเบต้าที่เปิดใช้งานสำหรับบัญชีนี้แตกต่างจากคุณสมบัติที่บันทึกไว้ในเครื่อง คุณสมบัติรุ่นเบต้าที่อัปเดตแล้วจะไม่สามารถใช้ได้จนกว่าคุณจะรีสตาร์ท Studio,"Bu hesap için etkinleştirilmiş beta özellikler yerel olarak kaydedilenlerden farklıdır. Güncel beta özellikler, Studio yeniden başlatılana kadar kullanıma hazır olmaz.",Các tính năng beta được bật cho tài khoản này khác với các tính năng được lưu cục bộ. Các tính năng Beta mới sẽ không khả dụng cho đến khi bạn khởi động lại Studio.,此帐户启用的 Beta 测试版功能与保存在本地的有所不同。你必须重新启动 Studio 才能使用上传的 Beta 测试版功能。,此帐户启用的 Beta 测试版功能与保存在本地的有所不同。你必须重新启动 Studio 才能使用上传的 Beta 测试版功能。,此帳戶啟用的 Beta 測試功能與儲存在本機的不同。在你重新啟動 Studio 之前，上傳的 Beta 測試功能都無法使用。
Studio.App.BetaFeatures.CouldBeUnstable,,,Note: Beta features could be unstable resulting in data loss or game corruption,Note: Beta features could be unstable resulting in data loss or game corruption,ملاحظة: يمكن أن تكون ميزات بيتا غير مستقرة مما يؤدي إلى فقدان البيانات أو تلف اللعبة,Hinweis: Beta-Funktionen sind möglicherweise instabil und können zu Datenverlust oder beschädigten Spieldaten führen.,Nota: las funciones beta podrían ser inestables y causar la pérdida de datos o la corrupción del juego,Remarque : les fonctionnalités bêta peuvent être instables et entraîner une perte de données ou une corruption du jeu.,Catatan: Fitur Beta mungkin tidak stabil dan dapat menyebabkan kehilangan data atau kerusakan game,Nota: le funzionalità beta potrebbero essere instabili e comportare perdita di dati o danneggiamento del gioco,ご注意：ベータ機能は不安定なことがあるため、データ消失やゲームの破損につながる可能性があります。,참고: 베타 기능은 불안정하므로 데이터 유실 또는 게임 손상을 초래할 수 있습니다,"Uwaga: funkcje beta mogą być niestabilne, co może spowodować utratę danych lub uszkodzenie gry",Obs.: As funcionalidades beta podem ser instáveis e resultar em perdas de dados ou jogos corrompidos,Примечание: бета-функционал может работать нестабильно. Использование бета-функционала может привести к потере данных или повреждению установленной копии игры.,หมายเหตุ: คุณสมบัติรุ่นเบต้าอาจไม่เสถียรซึ่งอาจส่งผลให้ข้อมูลสูญหายหรือเกมเสียหายได้,"Not: Beta özellikler, kararsız davranışlar sergileyerek veri kaybına ya da oyunun bozulmasına neden olabilir","Lưu ý: Các tính năng Beta có thể không ổn định, dẫn đến tình trạng mất dữ liệu hoặc hỏng trò chơi",注意: Beta 测试版功能的不稳定可能会造成数据丢失或游戏损毁,注意: Beta 测试版功能的不稳定可能会造成数据丢失或游戏损毁,注意：Beta 測試功能可能比較不穩定，可能會造成資料遺失或遊戲損壞
Studio.App.BetaFeatures.Details,,,Details,Details,التفاصيل,Details,Detalles,Détails,Detail,Dettagli,詳細,세부 정보,Szczegóły,Detalhes,Подробнее,รายละเอียด,Ayrıntılar,Chi Tiết,详情,详情,詳細資料
Studio.App.BetaFeatures.LearnMoreTooltip,,,Learn More,Learn More,معرفة المزيد,Mehr erfahren,Aprende más,En savoir plus,Pelajari Selengkapnya,Maggiori informazioni,もっと詳しく,더 알아보기,Dowiedz się więcej,Saiba mais,Подробнее,เรียนรู้เพิ่มเติม,Daha fazla bilgi edin,Tìm Hiểu Thêm,了解更多,了解更多,了解更多
Studio.App.BetaFeatures.Name,,,Name,Name,الاسم,Name,Nombre,Nom,Nama,Nome,名前,이름,Nazwa,Nome,Имя,ชื่อ,Ad,Tên,名称,名称,名稱
Studio.App.BetaFeatures.RestartStudioTitle,,,Restart Studio,Restart Studio,إعادة تشغيل Studio,Studio neu starten,Reiniciar Studio,Redémarrer Studio,Mulai Ulang Studio,Riavvia Studio,Studioを再起動,Studio 다시 시작,Uruchom ponownie aplikację Studio,Reiniciar o Studio,Перезапустить студию,รีสตาร์ท Studio,Studio'yu yeniden başlat,Khởi Động Lại Studio,重新启动 Studio,重新启动 Studio,重新啟動 Studio
Studio.App.BetaFeatures.RestartWarning,,,Beta features will not be activated until you restart Studio,Beta features will not be activated until you restart Studio,سيتم تنشيط ميزات بيتا بعد إعادة تشغيل Studio,Die Beta-Funktionen werden erst nach dem Neustart von Studio aktiviert,Las funciones beta no se activarán hasta que se reinicie Studio,Les fonctionnalités bêta mises à jour ne seront activées que lors du redémarrage de Studio.,Fitur Beta tidak akan diaktifkan sampai kamu memulai ulang Studio,Le funzionalità beta non saranno attivate se non riavvii Studio,Studioを再起動するまでベータ機能はアクティブ化されません,베타 기능은 Studio를 다시 시작할 때까지 활성화되지 않습니다,Funkcje beta nie zostaną aktywowane do czasu ponownego uruchomienia aplikacji Studio,As funcionalidades beta não serão ativadas até que o Studio seja reiniciado,Бета-функционал не будет доступен до перезапуска студии,คุณสมบัติรุ่นเบต้าจะยังไม่ถูกเปิดใช้งานจนกว่าคุณจะรีสตาร์ท Studio,"Beta özellikler, Studio yeniden başlatılana kadar etkinleşmeyecek",Các tính năng Beta sẽ không được kích hoạt cho đến khi bạn khởi động lại Studio,Beta 测试版功能在你重新启动 Studio 后方可激活。,Beta 测试版功能在你重新启动 Studio 后方可激活。,在你重新啟動 Studio 之前，上傳的 Beta 測試功能都無法啟用。
Studio.App.BetaFeatures.SelectFeaturesToActivate,,,Select beta features to activate,Select beta features to activate,حدد ميزات بيتا لتفعيلها,Beta-Funktionen zum Aktivieren auswählen,Seleccionar funciones beta para activar,Sélectionner les fonctionnalités bêta à activer,Pilih fitur beta yang ingin diaktifkan,Seleziona le funzionalità beta da attivare,アクティブ化するベータ機能を選択,활성화할 베타 기능 선택,"Zaznacz funkcje beta, które chcesz aktywować",Selecionar as funcionalidades beta a ativar,"Выберите бета-функционал, который надо активировать",เลือกคุณสมบัติรุ่นเบต้าเพื่อเปิดใช้งาน,Etkinleştirilecek beta özellikleri seç,Chọn các tính năng beta để kích hoạt,选择要激活的 Beta 测试版功能,选择要激活的 Beta 测试版功能,選擇要啟用的 Beta 測試功能
Studio.App.BetaFeatures.SomethingChangedPrompt,,,Would you like to restart Studio now?,Would you like to restart Studio now?,هل تريد إعادة تشغيل Studio الآن؟,Möchtest du Studio jetzt neu starten?,¿Quieres reiniciar Studio ahora?,Veux-tu redémarrer Studio maintenant ?,Kamu ingin memulai ulang Studio sekarang?,Vuoi riavviare Studio ora?,Studioを今、再起動しますか。,지금 Studio를 다시 시작할까요?,Czy chcesz uruchomić ponownie aplikację Studio teraz?,Deseja reiniciar o Studio?,Перезапустить студию прямо сейчас?,คุณต้องการรีสตาร์ท Studio ตอนนี้หรือไม่?,Studio yeniden başlatılsın mı?,Bạn có muốn khởi động lại Studio bây giờ không?,你要立即重新启动 Studio 吗?,你要立即重新启动 Studio 吗?,你要現在重新啟動 Studio 嗎？
Studio.App.BetaFeatures.TryCoolFeatures,,,Try out cool new Studio features! Your feedback is invaluable to us as we move forward towards building a powerful imagination platform.,Try out cool new Studio features! Your feedback is invaluable to us as we move forward towards building a powerful imagination platform.,جرب ميزات Studio الجديدة الرائعة! ملاحظاتك لا تقدر بثمن، فهي تساعدنا في المضي قدمًا نحو بناء منصة خيالية قوية.,"Teste coole neue Studio-Funktionen! Dein Feedback ist für uns sehr wertvoll, um unser Ziel einer starken Plattform unter dem Motto ""Powerful Imagination"" zu erreichen.",¡Prueba estas nuevas funciones geniales de Studio! Tus comentarios son muy importantes para nosotros y nos ayudan a mejorar la construcción de esta poderosa plataforma de la imaginación.,Teste de nouvelles fonctionnalités super cool de Studio ! tes commentaires nous sont indispensables pour construire une plateforme créative puissante.,Coba berbagai fitur baru Studio yang keren! Masukanmu sangat berharga bagi kami dalam mengembangkan platform imajinasi yang hebat.,Prova le nuove strepitose funzionalità di Studio! Il tuo feedback è fondamentale per permetterci di creare una piattaforma di immaginazione sempre più potente.,Studioの便利で新しい機能を使ってみましょう！パワフルなイマジネーションプラットフォーム作りを進めるには、みなさんのフィードバックが欠かせません。,새롭고 멋진 Studio 기능을 시험해 보세요! 상상력을 펼칠 수 있는 강력한 플랫폼을 계속 만들어 가려면 여러분의 귀중한 피드백이 필요해요.,Wypróbuj świetne nowe funkcje aplikacji Studio! Twoja opinia w nieoceniony sposób pomaga nam w tworzeniu wyjątkowej platformy wyobraźni.,Experimente as novas funcionalidades do Studio! Sua opinião é essencial para criarmos uma plataforma de imaginação poderosa.,"Воспользуйтесь новыми возможностями студии! Ваш отзыв очень важен для нас, ведь наша цель - создание мощной творческой платформы.",ลองใช้คุณสมบัติใหม่ๆ ที่น่าสนใจ ของ Studio ดูสิ! ข้อเสนอแนะของคุณมีค่าสำหรับเราในขณะที่เราก้าวไปข้างหน้าเพื่อสร้างแพลตฟอร์มแห่งจินตนาการอันทรงพลัง,Yeni Studio özelliklerini dene! Daha gelişmiş bir hayal gücü platformu inşa etme yolculuğumuzda ilerlerken geri bildirimin bizim için çok önemli.,Hãy thử các tính năng mới tuyệt vời của Studio! Ý kiến đóng góp của bạn rất có giá trị đối với chúng tôi để xây dựng một nền tảng phát triển óc tưởng tượng mạnh mẽ.,试试 Studio 酷炫的新功能吧! 你的反馈对我们非常重要，能帮助我们打造出一个实现想象力的强大平台。,试试 Studio 酷炫的新功能吧! 你的反馈对我们非常重要，能帮助我们打造出一个实现想象力的强大平台。,試試 Studio 超酷的新功能吧！你的意見反應對我們非常重要，因為我們希望能繼續打造一個強大的想像力平台。
Studio.App.Breakpoints.DeleteAllBreakpoints,,,Delete All Breakpoints,Delete All Breakpoints,حذف جميع نقاط التوقف,Alle Haltepunkte löschen,Eliminar todos los puntos de interrupción,Supprimer tous les points d'arrêt,Hapus Semua Breakpoint,Elimina tutti i breakpoint,すべてのブレークポイントを削除,모든 중단점 삭제,Usuń wszystkie punkty przerwania,Excluir todos os pontos de interrupção,Удалить все точки останова,ลบเบรกพอยต์ทั้งหมด,Tüm Kesme Noktalarını sil,Xóa Tất Cả Các Điểm Dừng,删除所有断点,删除所有断点,刪除所有斷點
Studio.App.Breakpoints.DeleteSelectedBreakpoint,,,Delete Selected Breakpoint,Delete Selected Breakpoint,حذف نقطة التوقف المحدّدة,Ausgewählten Haltepunkt löschen,Eliminar punto de interrupción seleccionado,Supprimer le point d'arrêt sélectionné,Hapus Breakpoint yang Dipilih,Elimina i breakpoint selezionati,選択済みブレークポイントを削除,선택한 중단점 삭제,Usuń zaznaczony punkt przerwania,Excluir o ponto de interrupção selecionado,Удалить выбранную точку останова,ลบเบรกพอยต์ที่เลือก,Seçili Kesme Noktasını sil,Xóa Điểm Dừng Đã Chọn,删除选中的断点,删除选中的断点,刪除選擇的斷點
Studio.App.Breakpoints.GoToSourceCode,,,Go To Source Code,Go To Source Code,الانتقال إلى التعليمات البرمجية,Gehe zu Quellcode,Ir al código fuente,Aller au code source,Buka Kode Sumber,Vai a codice sorgente,ソースコードへ移動,소스 코드로 이동,Przejdź do kodu źródłowego,Ir para o código fonte,Перейти к исходному коду,ไปยังซอร์สโค้ด,Kaynak koda git,Truy Cập Mã Nguồn,前往源代码,前往源代码,前往原始碼
Studio.App.BulkImport.CancelImport,,,Cancel Import,Cancel Import,إلغاء الاستيراد,Import abbrechen,Cancelar importación,Annuler importation,Batalkan Impor,Annulla importazione,インポートをキャンセル,가져오기 취소,Anuluj importowanie,Cancelar importação,Отменить импорт,ยกเลิกการนำเข้า,İçe aktarmayı iptal et,Hủy Nhập,取消导入,取消导入,取消匯入
Studio.App.BulkImport.CloseWindow,,,Close Window,Close Window,إغلاق النافذة,Fenster schließen,Cerrar ventana,Fermer la fenêtre,Tutup Jendela,Chiudi finestra,ウィンドウを閉じる,창 닫기,Zamknij okno,Fechar janela,Закрыть окно,ปิดหน้าต่าง,Pencereyi kapat,Đóng Cửa Sổ,关闭窗口,关闭窗口,關閉視窗
Studio.App.BulkImport.Collapse,,,Collapse,Collapse,طي,Minimieren,Contraer,Réduire,Ciutkan,Riduci,折り畳み表示,축소,Zwiń,Recolher,Свернуть,ย่อ,Daralt,Thu Gọn,收起,收起,摺疊
Studio.App.BulkImport.Completed,,,Completed,Completed,اكتمل,Abgeschlossen,Completada,Terminé,Selesai,Completato,完了,완료됨,Ukończono,Concluído,Завершено,เสร็จสมบูรณ์,Tamamlandı,Đã Hoàn Thành,已完成,已完成,已完成
Studio.App.BulkImport.Expand,,,Expand,Expand,توسيع,Erweitern,Ampliar,Développer,Perluas,Ingrandisci,展開,확장,Rozwiń,Expandir,Развернуть,ขยาย,Genişlet,Mở Rộng,扩展,扩展,展開
Studio.App.BulkImport.Import,,,Import,Import,استيراد,Importieren,Importación,Importer,Impor,Importa,インポート,가져오기,Importuj,Importar,Импорт,นำเข้า,İçe Aktar,Nhập,导入,导入,匯入
Studio.App.BulkImport.ProgressFmt2,,,Imported %1 of %2 files,Imported %1 of %2 files,تم استيراد %1 من أصل %2 ملف,%1 von %2 Dateien importiert,%1 de %2 archivos importados,%1 sur %2 fichier(s) importé(s),%1 dari %2 file diimpor,Hai importato %1 file di %2,%2 件のうち、%1 件のファイルをインポート済み,%1/%2 파일 가져옴,Zaimportowano %1 z %2 plików,%1 de %2 arquivos importados,Импорт файлов: %1 из %2,นำเข้า %1 จาก %2 ไฟล์,%1/%2 dosya içe aktarıldı,Đã nhập %1 trong số %2 tệp,已导入 %1/%2 个文件,已导入 %1/%2 个文件,已匯入 %1/%2 個檔案
Studio.App.CalibrateDeviceScalingDialog.CalibrateDeviceScaling,,,Calibrate Device Scaling,Calibrate Device Scaling,معايرة مقياس الجهاز,Geräteskalierung kalibrieren,Calibrar escalado del dispositivo,Calibrer la mise à l'échelle de l'appareil,Kalibrasikan Penskalaan Perangkat,Calibra ridimensionamento dispositivo,デバイスの拡大/縮小を調整,기기 크기 보정,Skalibruj skalowanie na urządzeniu,Calibrar dimensionamento do dispositivo,Калибровка масштабирования устройства,การปรับเทียบการปรับขนาดอุปกรณ์,Cihaz ölçeklendirmesi kalibrasyonu,Hiệu Chỉnh Tỷ Lệ Thiết Bị,校准设备缩放,校准设备缩放,校正裝置縮放
Studio.App.CalibrateDeviceScalingDialog.DecreaseImageSize,,,Decrease image size,Decrease image size,تقليل حجم الصورة,Bildgröße reduzieren,Disminuir tamaño de la imagen,Réduire la taille de l'image,Kurangi ukuran gambar,Riduci dimensioni immagine,画像サイズを縮小,이미지 크기 축소,Zmniejsz rozmiar obrazu,Diminuir tamanho da imagem,Уменьшить размер изображения,ลดขนาดภาพ,Görüntü boyutunu küçült,Giảm kích thước hình ảnh,缩小图片尺寸,缩小图片尺寸,降低圖像大小
Studio.App.CalibrateDeviceScalingDialog.EstimateScreenSize,,,"To accurately scale to physical size, we need to get an estimate of your screen size.","To accurately scale to physical size, we need to get an estimate of your screen size.",للقياس بدقة مقارنة بالحجم الفعلي، نحتاج إلى الحصول على تقدير لحجم شاشتك.,Zur präzisen Skalierung auf die physische Größe benötigen wir Angaben zu deiner Bildschirmgröße.,"Para redimensionar con precisión al tamaño físico, es necesario obtener una estimación del tamaño de tu pantalla.","Pour une mise à l'échelle correcte à la taille physique, il nous faut une estimation de votre taille d'écran.","Untuk menskalakan ke ukuran fisik dengan akurat, kami perlu mengetahui perkiraan ukuran layarmu.","Per un ridimensionamento preciso alla dimensione fisica, dobbiamo fare una stima della dimensione del tuo schermo.",物理的なサイズを正確に拡大/縮小するには、スクリーンのサイズの見積もりが必要です。,실제 크기로 정확하게 스케일링하려면 화면 크기 추정치에 대한 정보가 필요합니다.,"Aby precyzyjnie dopasować skalę do rozmiaru fizycznego, potrzebujemy przybliżonych wymiarów twojego ekranu.","Para dimensionar com precisão ao tamanho físico, precisamos estimar o tamanho de sua tela.","Чтобы точно масштабировать до физического размера, нам нужно получить оценку размера экрана.",เพื่อปรับขนาดให้ตรงกับขนาดจริง เราจำเป็นต้องมีค่าโดยประมาณของขนาดหน้าจอของคุณ,Fiziksel boyuta doğru bir şekilde ölçeklendirebilmek için ekran boyutunun yaklaşık bir ölçümünü almamız gerekecek.,"Để điều chỉnh chính xác kích thước vật lý, chúng ta cần ước tính kích thước màn hình của bạn.",为了提供准确的物理尺寸，我们需要获知你的显示器的大致尺寸。,为了提供准确的物理尺寸，我们需要获知你的显示器的大致尺寸。,為了提供準確的實際尺寸，我們需要預估你的螢幕尺寸。
Studio.App.CalibrateDeviceScalingDialog.IncreaseImageSize,,,Increase image size,Increase image size,زيادة حجم الصورة,Bildgröße erhöhen,Aumentar tamaño de la imagen,Augmenter la taille de l'image,Tingkatkan ukuran gambar,Aumenta dimensioni immagine,画像サイズを拡大,이미지 크기 확대,Zwiększ rozmiar obrazu,Aumentar tamanho da imagem,Увеличить размер изображения,เพิ่มขนาดภาพ,Görüntü boyutunu büyüt,Tăng kích thước hình ảnh,扩大图片尺寸,扩大图片尺寸,提高圖像大小
Studio.App.CallStackWidget.CurrentScript,,,Current Script: ,Current Script: ,البرنامج النصيّ الحالي: ,Aktuelles Skript: ,Script actual: ,Script actuel : ,Skrip Saat Ini: ,Script attuale: ,現在のスクリプト: ,현재 스크립트: ,Bieżący skrypt: ,Script atual: ,Текущий скрипт:,สคริปต์ปัจจุบัน: ,Mevcut Betik: ,Kịch Bản Hiện Tại: ,当前脚本: ,当前脚本: ,目前指令碼： 
Studio.App.CallStack.CallStack,,,Call Stack,Call Stack,مكدس الاستدعاءات,Aufrufstapel,Pila de llamadas,Pile des appels,Call Stack,Call stack,コールスタック,호출 스택,Stos wywołań,Pilha de chamadas,Стек вызовов,Call stack,Çağrı Yığını,Ngăn Xếp Cuộc Gọi,调用堆栈,调用堆栈,呼叫堆疊
