Name,Shader Type,d3d10,d3d10_1,d3d11,glsl,glsl3,vulkan_desktop
DefaultUnifiedFlatPBROpaqueFS_20000000,Fragment,❌,❌,❌,✔,❌,❌
DefaultUnifiedFlatPBROpaqueFS_28000000,Fragment,❌,❌,❌,✔,❌,❌
DefaultUnifiedFlatPBROpaqueVS_10000000,Vertex,❌,❌,❌,✔,❌,❌
DefaultUnifiedFlatPBROpaqueVS_10000002,Vertex,❌,❌,❌,✔,❌,❌
DefaultUnifiedFlatPBROpaqueVS_10000006,Vertex,❌,❌,❌,✔,❌,❌
DefaultUnifiedFlatPBROpaqueVS_10000400,Vertex,❌,❌,❌,✔,❌,❌
DefaultUnifiedFlatPBROpaqueVS_10000402,Vertex,❌,❌,❌,✔,❌,❌
DefaultUnifiedFlatPBROpaqueVS_10000406,Vertex,❌,❌,❌,✔,❌,❌
DefaultUnifiedFlatPBROpaqueVS_10001000,Vertex,❌,❌,❌,✔,❌,❌
DefaultUnifiedFlatPBROpaqueVS_10001002,Vertex,❌,❌,❌,✔,❌,❌
DefaultUnifiedFlatPBROpaqueVS_10001006,Vertex,❌,❌,❌,✔,❌,❌
DefaultUnifiedFlatPBROpaqueVS_10001400,Vertex,❌,❌,❌,✔,❌,❌
DefaultUnifiedFlatPBROpaqueVS_10001402,Vertex,❌,❌,❌,✔,❌,❌
DefaultUnifiedFlatPBROpaqueVS_10001406,Vertex,❌,❌,❌,✔,❌,❌
DefaultUnifiedFlatPBROpaqueVS_14000006,Vertex,❌,❌,❌,✔,❌,❌
DefaultUnifiedFlatPBROpaqueVS_14000406,Vertex,❌,❌,❌,✔,❌,❌
DefaultUnifiedFlatPBROpaqueVS_14001006,Vertex,❌,❌,❌,✔,❌,❌
DefaultUnifiedFlatPBROpaqueVS_14001406,Vertex,❌,❌,❌,✔,❌,❌
DefaultUnifiedFlatPBROpaqueVS_20000000,Vertex,❌,❌,❌,✔,❌,❌
DefaultUnifiedFlatPBROpaqueVS_20000002,Vertex,❌,❌,❌,✔,❌,❌
DefaultUnifiedFlatPBROpaqueVS_20000006,Vertex,❌,❌,❌,✔,❌,❌
DefaultUnifiedFlatPBROpaqueVS_20001000,Vertex,❌,❌,❌,✔,❌,❌
DefaultUnifiedFlatPBROpaqueVS_20001002,Vertex,❌,❌,❌,✔,❌,❌
DefaultUnifiedFlatPBROpaqueVS_20001006,Vertex,❌,❌,❌,✔,❌,❌
DefaultUnifiedFlatPBROpaqueVS_24000006,Vertex,❌,❌,❌,✔,❌,❌
DefaultUnifiedFlatPBROpaqueVS_24001006,Vertex,❌,❌,❌,✔,❌,❌
DefaultUnifiedFlatPBRTransparentFS_10000000,Fragment,❌,❌,❌,✔,❌,❌
DefaultUnifiedFlatPBRTransparentFS_10000400,Fragment,❌,❌,❌,✔,❌,❌
DefaultUnifiedFlatPBRTransparentFS_18000000,Fragment,❌,❌,❌,✔,❌,❌
DefaultUnifiedFlatPBRTransparentFS_18000400,Fragment,❌,❌,❌,✔,❌,❌
DefaultUnifiedFlatPBRTransparentFS_20000000,Fragment,❌,❌,❌,✔,❌,❌
DefaultUnifiedFlatPBRTransparentFS_28000000,Fragment,❌,❌,❌,✔,❌,❌
DefaultUnifiedFlatPBRTransparentVS_10000000,Vertex,❌,❌,❌,✔,❌,❌
DefaultUnifiedFlatPBRTransparentVS_10000002,Vertex,❌,❌,❌,✔,❌,❌
DefaultUnifiedFlatPBRTransparentVS_10000006,Vertex,❌,❌,❌,✔,❌,❌
DefaultUnifiedFlatPBRTransparentVS_10000400,Vertex,❌,❌,❌,✔,❌,❌
DefaultUnifiedFlatPBRTransparentVS_10000402,Vertex,❌,❌,❌,✔,❌,❌
DefaultUnifiedFlatPBRTransparentVS_10000406,Vertex,❌,❌,❌,✔,❌,❌
DefaultUnifiedFlatPBRTransparentVS_10001000,Vertex,❌,❌,❌,✔,❌,❌
DefaultUnifiedFlatPBRTransparentVS_10001002,Vertex,❌,❌,❌,✔,❌,❌
DefaultUnifiedFlatPBRTransparentVS_10001006,Vertex,❌,❌,❌,✔,❌,❌
DefaultUnifiedFlatPBRTransparentVS_10001400,Vertex,❌,❌,❌,✔,❌,❌
DefaultUnifiedFlatPBRTransparentVS_10001402,Vertex,❌,❌,❌,✔,❌,❌
DefaultUnifiedFlatPBRTransparentVS_10001406,Vertex,❌,❌,❌,✔,❌,❌
DefaultUnifiedFlatPBRTransparentVS_14000006,Vertex,❌,❌,❌,✔,❌,❌
DefaultUnifiedFlatPBRTransparentVS_14000406,Vertex,❌,❌,❌,✔,❌,❌
DefaultUnifiedFlatPBRTransparentVS_14001006,Vertex,❌,❌,❌,✔,❌,❌
DefaultUnifiedFlatPBRTransparentVS_14001406,Vertex,❌,❌,❌,✔,❌,❌
DefaultUnifiedFlatPBRTransparentVS_20000000,Vertex,❌,❌,❌,✔,❌,❌
DefaultUnifiedFlatPBRTransparentVS_20000002,Vertex,❌,❌,❌,✔,❌,❌
DefaultUnifiedFlatPBRTransparentVS_20000006,Vertex,❌,❌,❌,✔,❌,❌
DefaultUnifiedFlatPBRTransparentVS_20001000,Vertex,❌,❌,❌,✔,❌,❌
DefaultUnifiedFlatPBRTransparentVS_20001002,Vertex,❌,❌,❌,✔,❌,❌
DefaultUnifiedFlatPBRTransparentVS_20001006,Vertex,❌,❌,❌,✔,❌,❌
DefaultUnifiedFlatPBRTransparentVS_24000006,Vertex,❌,❌,❌,✔,❌,❌
DefaultUnifiedFlatPBRTransparentVS_24001006,Vertex,❌,❌,❌,✔,❌,❌
DefaultUnifiedFlatTransparentFS_00000800,Fragment,❌,❌,❌,❌,✔,❌
DefaultUnifiedFlatTransparentFS_10000000,Fragment,❌,❌,❌,✔,✔,❌
DefaultUnifiedFlatTransparentFS_10000400,Fragment,❌,❌,❌,✔,✔,❌
DefaultUnifiedFlatTransparentFS_20000000,Fragment,❌,❌,❌,✔,✔,❌
DefaultUnifiedFlatTransparentVS_00000800,Vertex,❌,❌,❌,❌,✔,❌
DefaultUnifiedFlatTransparentVS_00000801,Vertex,❌,❌,❌,❌,✔,❌
DefaultUnifiedFlatTransparentVS_00000802,Vertex,❌,❌,❌,❌,✔,❌
DefaultUnifiedFlatTransparentVS_00000806,Vertex,❌,❌,❌,❌,✔,❌
DefaultUnifiedFlatTransparentVS_00001800,Vertex,❌,❌,❌,❌,✔,❌
DefaultUnifiedFlatTransparentVS_00001802,Vertex,❌,❌,❌,❌,✔,❌
DefaultUnifiedFlatTransparentVS_00001806,Vertex,❌,❌,❌,❌,✔,❌
DefaultUnifiedFlatTransparentVS_00100801,Vertex,❌,❌,❌,❌,✔,❌
DefaultUnifiedFlatTransparentVS_04000806,Vertex,❌,❌,❌,❌,✔,❌
DefaultUnifiedFlatTransparentVS_04001806,Vertex,❌,❌,❌,❌,✔,❌
DefaultUnifiedFlatTransparentVS_10000000,Vertex,❌,❌,❌,✔,✔,❌
DefaultUnifiedFlatTransparentVS_10000001,Vertex,❌,❌,❌,❌,✔,❌
DefaultUnifiedFlatTransparentVS_10000002,Vertex,❌,❌,❌,✔,✔,❌
DefaultUnifiedFlatTransparentVS_10000006,Vertex,❌,❌,❌,✔,✔,❌
DefaultUnifiedFlatTransparentVS_10000400,Vertex,❌,❌,❌,✔,✔,❌
DefaultUnifiedFlatTransparentVS_10000401,Vertex,❌,❌,❌,❌,✔,❌
DefaultUnifiedFlatTransparentVS_10000402,Vertex,❌,❌,❌,✔,✔,❌
DefaultUnifiedFlatTransparentVS_10000406,Vertex,❌,❌,❌,✔,✔,❌
DefaultUnifiedFlatTransparentVS_10001000,Vertex,❌,❌,❌,✔,✔,❌
DefaultUnifiedFlatTransparentVS_10001002,Vertex,❌,❌,❌,✔,✔,❌
DefaultUnifiedFlatTransparentVS_10001006,Vertex,❌,❌,❌,✔,✔,❌
DefaultUnifiedFlatTransparentVS_10001400,Vertex,❌,❌,❌,✔,✔,❌
DefaultUnifiedFlatTransparentVS_10001402,Vertex,❌,❌,❌,✔,✔,❌
DefaultUnifiedFlatTransparentVS_10001406,Vertex,❌,❌,❌,✔,✔,❌
DefaultUnifiedFlatTransparentVS_10100001,Vertex,❌,❌,❌,❌,✔,❌
DefaultUnifiedFlatTransparentVS_10100401,Vertex,❌,❌,❌,❌,✔,❌
DefaultUnifiedFlatTransparentVS_14000006,Vertex,❌,❌,❌,✔,✔,❌
DefaultUnifiedFlatTransparentVS_14000406,Vertex,❌,❌,❌,✔,✔,❌
DefaultUnifiedFlatTransparentVS_14001006,Vertex,❌,❌,❌,✔,✔,❌
DefaultUnifiedFlatTransparentVS_14001406,Vertex,❌,❌,❌,✔,✔,❌
DefaultUnifiedFlatTransparentVS_20000000,Vertex,❌,❌,❌,✔,✔,❌
DefaultUnifiedFlatTransparentVS_20000001,Vertex,❌,❌,❌,❌,✔,❌
DefaultUnifiedFlatTransparentVS_20000002,Vertex,❌,❌,❌,✔,✔,❌
DefaultUnifiedFlatTransparentVS_20000006,Vertex,❌,❌,❌,✔,✔,❌
DefaultUnifiedFlatTransparentVS_20001000,Vertex,❌,❌,❌,✔,✔,❌
DefaultUnifiedFlatTransparentVS_20001002,Vertex,❌,❌,❌,✔,✔,❌
DefaultUnifiedFlatTransparentVS_20001006,Vertex,❌,❌,❌,✔,✔,❌
DefaultUnifiedFlatTransparentVS_20100001,Vertex,❌,❌,❌,❌,✔,❌
DefaultUnifiedFlatTransparentVS_24000006,Vertex,❌,❌,❌,✔,✔,❌
DefaultUnifiedFlatTransparentVS_24001006,Vertex,❌,❌,❌,✔,✔,❌
DefaultUnifiedForcefieldFS_00000800,Fragment,❌,❌,❌,❌,✔,❌
DefaultUnifiedForcefieldFS_02000800,Fragment,❌,❌,❌,❌,✔,❌
DefaultUnifiedForcefieldFS_08000800,Fragment,❌,❌,❌,❌,✔,❌
DefaultUnifiedForcefieldFS_0a000800,Fragment,❌,❌,❌,❌,✔,❌
DefaultUnifiedForcefieldFS_10000000,Fragment,❌,❌,❌,✔,✔,❌
DefaultUnifiedForcefieldFS_10000400,Fragment,❌,❌,❌,✔,✔,❌
DefaultUnifiedForcefieldFS_12000000,Fragment,❌,❌,❌,✔,✔,❌
DefaultUnifiedForcefieldFS_12000400,Fragment,❌,❌,❌,✔,✔,❌
DefaultUnifiedForcefieldFS_18000000,Fragment,❌,❌,❌,✔,✔,❌
DefaultUnifiedForcefieldFS_18000400,Fragment,❌,❌,❌,✔,✔,❌
DefaultUnifiedForcefieldFS_1a000000,Fragment,❌,❌,❌,✔,✔,❌
DefaultUnifiedForcefieldFS_1a000400,Fragment,❌,❌,❌,✔,✔,❌
DefaultUnifiedForcefieldFS_20000000,Fragment,❌,❌,❌,✔,✔,❌
DefaultUnifiedForcefieldFS_22000000,Fragment,❌,❌,❌,✔,✔,❌
DefaultUnifiedForcefieldFS_28000000,Fragment,❌,❌,❌,✔,✔,❌
DefaultUnifiedForcefieldFS_2a000000,Fragment,❌,❌,❌,✔,✔,❌
DefaultUnifiedForcefieldVS_00000800,Vertex,❌,❌,❌,❌,✔,❌
DefaultUnifiedForcefieldVS_00000801,Vertex,❌,❌,❌,❌,✔,❌
DefaultUnifiedForcefieldVS_00000802,Vertex,❌,❌,❌,❌,✔,❌
DefaultUnifiedForcefieldVS_00000806,Vertex,❌,❌,❌,❌,✔,❌
DefaultUnifiedForcefieldVS_00001800,Vertex,❌,❌,❌,❌,✔,❌
DefaultUnifiedForcefieldVS_00001802,Vertex,❌,❌,❌,❌,✔,❌
DefaultUnifiedForcefieldVS_00001806,Vertex,❌,❌,❌,❌,✔,❌
DefaultUnifiedForcefieldVS_00100801,Vertex,❌,❌,❌,❌,✔,❌
DefaultUnifiedForcefieldVS_04000806,Vertex,❌,❌,❌,❌,✔,❌
DefaultUnifiedForcefieldVS_04001806,Vertex,❌,❌,❌,❌,✔,❌
DefaultUnifiedForcefieldVS_10000000,Vertex,❌,❌,❌,✔,✔,❌
DefaultUnifiedForcefieldVS_10000001,Vertex,❌,❌,❌,❌,✔,❌
DefaultUnifiedForcefieldVS_10000002,Vertex,❌,❌,❌,✔,✔,❌
DefaultUnifiedForcefieldVS_10000006,Vertex,❌,❌,❌,✔,✔,❌
DefaultUnifiedForcefieldVS_10000400,Vertex,❌,❌,❌,✔,✔,❌
DefaultUnifiedForcefieldVS_10000401,Vertex,❌,❌,❌,❌,✔,❌
DefaultUnifiedForcefieldVS_10000402,Vertex,❌,❌,❌,✔,✔,❌
DefaultUnifiedForcefieldVS_10000406,Vertex,❌,❌,❌,✔,✔,❌
DefaultUnifiedForcefieldVS_10001000,Vertex,❌,❌,❌,✔,✔,❌
DefaultUnifiedForcefieldVS_10001002,Vertex,❌,❌,❌,✔,✔,❌
DefaultUnifiedForcefieldVS_10001006,Vertex,❌,❌,❌,✔,✔,❌
DefaultUnifiedForcefieldVS_10001400,Vertex,❌,❌,❌,✔,✔,❌
DefaultUnifiedForcefieldVS_10001402,Vertex,❌,❌,❌,✔,✔,❌
DefaultUnifiedForcefieldVS_10001406,Vertex,❌,❌,❌,✔,✔,❌
DefaultUnifiedForcefieldVS_10100001,Vertex,❌,❌,❌,❌,✔,❌
DefaultUnifiedForcefieldVS_10100401,Vertex,❌,❌,❌,❌,✔,❌
DefaultUnifiedForcefieldVS_14000006,Vertex,❌,❌,❌,✔,✔,❌
DefaultUnifiedForcefieldVS_14000406,Vertex,❌,❌,❌,✔,✔,❌
DefaultUnifiedForcefieldVS_14001006,Vertex,❌,❌,❌,✔,✔,❌
DefaultUnifiedForcefieldVS_14001406,Vertex,❌,❌,❌,✔,✔,❌
DefaultUnifiedForcefieldVS_20000000,Vertex,❌,❌,❌,✔,✔,❌
DefaultUnifiedForcefieldVS_20000001,Vertex,❌,❌,❌,❌,✔,❌
DefaultUnifiedForcefieldVS_20000002,Vertex,❌,❌,❌,✔,✔,❌
DefaultUnifiedForcefieldVS_20000006,Vertex,❌,❌,❌,✔,✔,❌
DefaultUnifiedForcefieldVS_20001000,Vertex,❌,❌,❌,✔,✔,❌
DefaultUnifiedForcefieldVS_20001002,Vertex,❌,❌,❌,✔,✔,❌
DefaultUnifiedForcefieldVS_20001006,Vertex,❌,❌,❌,✔,✔,❌
DefaultUnifiedForcefieldVS_20100001,Vertex,❌,❌,❌,❌,✔,❌
DefaultUnifiedForcefieldVS_24000006,Vertex,❌,❌,❌,✔,✔,❌
DefaultUnifiedForcefieldVS_24001006,Vertex,❌,❌,❌,✔,✔,❌
DefaultUnifiedGlassTintFS,Fragment,✔,✔,✔,✔,✔,✔
DefaultUnifiedGlassTintVS,Vertex,✔,✔,✔,✔,✔,✔
DefaultUnifiedGlassTintVS_00000001,Vertex,✔,✔,✔,❌,✔,✔
DefaultUnifiedGlassTintVS_00000002,Vertex,✔,✔,✔,✔,✔,✔
DefaultUnifiedGlassTintVS_00000006,Vertex,✔,✔,✔,✔,✔,✔
DefaultUnifiedGlassTintVS_00000400,Vertex,✔,✔,✔,✔,✔,✔
DefaultUnifiedGlassTintVS_00000401,Vertex,✔,✔,✔,❌,✔,✔
DefaultUnifiedGlassTintVS_00000402,Vertex,✔,✔,✔,✔,✔,✔
DefaultUnifiedGlassTintVS_00000406,Vertex,✔,✔,✔,✔,✔,✔
DefaultUnifiedGlassTintVS_00001000,Vertex,✔,✔,✔,✔,✔,✔
DefaultUnifiedGlassTintVS_00001002,Vertex,✔,✔,✔,✔,✔,✔
DefaultUnifiedGlassTintVS_00001006,Vertex,✔,✔,✔,✔,✔,✔
DefaultUnifiedGlassTintVS_00001400,Vertex,✔,✔,✔,✔,✔,✔
DefaultUnifiedGlassTintVS_00001402,Vertex,✔,✔,✔,✔,✔,✔
DefaultUnifiedGlassTintVS_00001406,Vertex,✔,✔,✔,✔,✔,✔
DefaultUnifiedGlassTintVS_00100001,Vertex,✔,✔,✔,❌,✔,✔
DefaultUnifiedGlassTintVS_00100401,Vertex,✔,✔,✔,❌,✔,✔
DefaultUnifiedGlassTintVS_00200000,Vertex,✔,✔,✔,❌,❌,✔
DefaultUnifiedGlassTintVS_00200400,Vertex,✔,✔,✔,❌,❌,✔
DefaultUnifiedGlassTintVS_00300000,Vertex,✔,✔,✔,❌,❌,✔
DefaultUnifiedGlassTintVS_00300400,Vertex,✔,✔,✔,❌,❌,✔
DefaultUnifiedGlassTintVS_04000006,Vertex,✔,✔,✔,✔,✔,✔
DefaultUnifiedGlassTintVS_04000406,Vertex,✔,✔,✔,✔,✔,✔
DefaultUnifiedGlassTintVS_04001006,Vertex,✔,✔,✔,✔,✔,✔
DefaultUnifiedGlassTintVS_04001406,Vertex,✔,✔,✔,✔,✔,✔
DefaultUnifiedGlassTransparentFS_00000800,Fragment,✔,✔,✔,❌,✔,✔
DefaultUnifiedGlassTransparentFS_02000800,Fragment,✔,✔,✔,❌,✔,✔
DefaultUnifiedGlassTransparentFS_08000800,Fragment,✔,✔,✔,❌,✔,✔
DefaultUnifiedGlassTransparentFS_0a000800,Fragment,✔,✔,✔,❌,✔,✔
DefaultUnifiedGlassTransparentFS_10000000,Fragment,✔,✔,✔,✔,✔,✔
DefaultUnifiedGlassTransparentFS_10000400,Fragment,✔,✔,✔,✔,✔,✔
