Key,Context,Source,en-us
Studio.App.RobloxRibbonMainWindow.Join,Join,Join,Join
Studio.App.ChatSessionHandler.All,,All,All
Studio.App.ChatSessionHandler.TeamChat,,Team Chat,Team Chat
Studio.App.ContextMenuDropdown.DisableTeamCreate,,Disable Team Create,Disable Team Create
Studio.App.RobloxChatWidget.ChatOptions,,Chat Options,Chat Options
Studio.App.RobloxChatWidget.ConnectingToChatElps,,Connecting to chat...,Connecting to chat...
Studio.App.RobloxChatWidget.ContentModerated,,Content was moderated. Message not sent.,Content was moderated. Message not sent.
Studio.App.RobloxChatWidget.SendAMessage,,Send a message,Send a message
Studio.App.RobloxChatWidget.FailedSendAMessage,,Failed to send message: ,Failed to send message: 
Studio.App.RobloxChatWidget.DisabledChatMessage,,%1 Turn on chat in your %2 Privacy Settings %3 to chat with friends! %4,%1 Turn on chat in your %2 Privacy Settings %3 to chat with friends! %4
Studio.App.RobloxChatWidget.NotFriendErrorMessage,,Individual chat is available only for friends. Please friend '%1' or use group chat to talk.,Individual chat is available only for friends. Please friend '%1' or use group chat to talk.
Studio.App.RobloxChatWidget.ChattingWith,,Chatting with %1,Chatting with %1
Studio.App.RobloxTeamCreateWidget.TeamCreateOptions,,Team Create Options,Team Create Options
Studio.App.ScriptRecoveryWidget.OpenFile,,Open file,Open file
Studio.App.ScriptRecoveryWidget.SelectAndOpenScript,,Select and open script,Select and open script
Studio.App.ScriptRecoveryWidget.ViewDiff,,View Diff,View Diff
Studio.App.ScriptRecoveryWidget.InitialWarning,,"You were disconnected from the last Team Create session without saving your scripts.
Some of those scripts have either been changed or are currently being edited by another user.
Please see the Script Recovery Widget to resolve these files. ","You were disconnected from the last Team Create session without saving your scripts.
Some of those scripts have either been changed or are currently being edited by another user.
Please see the Script Recovery Widget to resolve these files. "
Studio.App.ScriptRecoveryWidget.ErrorRecovering,,Errors occurred while automatically recovering scripts.,Errors occurred while automatically recovering scripts.
Studio.App.ScriptRecoveryWidget.ErrorRemovedFromWorksapce,,Unable to perform diff because this script has been removed from Workspace.,Unable to perform diff because this script has been removed from Workspace.
Studio.App.ScriptRecoveryWidget.ErrorWriting,,Issue with writing script autosave,Issue with writing script autosave
Studio.App.ScriptRecoveryWidget.ScriptNoLongerExists,,Script no longer exists,Script no longer exists
Studio.App.CloudEditController.JoinTeamTestServer,,Join Team Test Server,Join Team Test Server
Studio.App.CloudEditController.ShutdownServer,,Shutdown Server,Shutdown Server
Studio.App.CloudEditUserData.FailToRestoreCameraPosition,,Failed to restore camera position: %s,Failed to restore camera position: %s
Studio.App.TeamCreateActivePlayersDialog.TopLabelText1,Display this message to inform user about the ongoing active team create session,Place '%1' currently has an active Team Create Session with other users. The following users will need to close their session in order to proceed with this operation,Place '%1' currently has an active Team Create Session with other users. The following users will need to close their session in order to proceed with this operation
Studio.App.TeamCreateActivePlayersDialog.UsernameField,Username field,User Name,User Name
Studio.App.TeamCreateActivePlayersDialog.PlayerID1,String for Player ID,Player ID: '%1',Player ID: '%1'
Studio.App.TeamCreateActivePlayersDialog.UnableToRetrieveUsernames1,Error message on fetching failure,"Unable to retrieve usernames.
Additional Info: '%1'","Unable to retrieve usernames.
Additional Info: '%1'"
Studio.Common.Action.SaveToRoblox,,Save to Roblox,Save to Roblox
