Key,Context,Source,en-us
Studio.App.BetaFeatures.SomethingChangedPrompt,,Would you like to restart Studio now?,Would you like to restart Studio now?
Studio.App.BetaFeatures.RestartWarning,,Beta features will not be activated until you restart Studio,Beta features will not be activated until you restart Studio
Studio.App.BetaFeatures.AudioVolumetricSoundsTitle,,Volumetric Sounds,Volumetric Sounds
Studio.App.BetaFeatures.AudioVolumetricSoundsDescription,,"Enables Sound Instances that are children of Cylinder, Block, and Ball parts to emit audio from every point on the surface of the part, rather than only the center.","Enables Sound Instances that are children of Cylinder, Block, and Ball parts to emit audio from every point on the surface of the part, rather than only the center."
Studio.App.BetaFeatures.MaterialGeneratorTitle,,Material Generator,Material Generator
Studio.App.BetaFeatures.MaterialGeneratorDescription,,"Enables the AI Material Generator, which allows you to generate any PBR material you can imagine using text input.","Enables the AI Material Generator, which allows you to generate any PBR material you can imagine using text input."
Studio.App.BetaFeatures.MaterialGeneratorTermsAndConditions,Terms and conditions for being able to use the AI Material Generator,"Material Generator is a tool provided by Roblox as an option to access material creation features in Studio. BY PROCEEDING OR USING MATERIAL GENERATOR, YOU ACCEPT AND AGREE TO THE BELOW.

You remain responsible for ensuring that all language, data and other information that you upload to Roblox, and all images and other materials suggested by Material Generator, complies with the Roblox Terms of Use (the “Terms”) including the Roblox Community Standards. Material Generator is part of the “Services” as defined in the Terms. Accordingly, your use of Material Generator is subject to the Terms, including the Creator Terms and the Roblox Community Standards, and, among other things, you must (i) use Material Generator in a lawful manner and in compliance with all applicable laws, (ii) not reverse engineer, disassemble, decompile, or otherwise attempt to derive or gain access to Material Generator; and (iii) use Material Generator in a manner that does not infringe or attempt to infringe, misappropriate or otherwise violate any rights of Roblox or any other person or entity.

Due to its nature, Material Generator may generate irrelevant, inaccurate, offensive, or other material that is not useful for your purposes and that may be the same, similar, or different among users. Material Generator is not intended to provide factual information or advice. YOUR USE OF MATERIAL GENERATOR IS AT YOUR OWN RISK, AND MATERIAL GENERATOR IS PROVIDED “AS IS” AND WITHOUT CONDITION, WARRANTY, GUARANTEE OR REPRESENTATION OF ANY KIND, EXPRESS OR IMPLIED (INCLUDING WITHOUT LIMITATION, ANY WARRANTY OF MERCHANTABILITY, FITNESS FOR A PARTICULAR PURPOSE, TITLE, NON-INFRINGEMENT, AVAILABILITY, OR ERROR-FREE OR UNINTERRUPTED USE). ROBLOX MAKES NO WARRANTY ABOUT CONTENT OR MATERIALS ACCESSIBLE THROUGH OR FROM MATERIAL GENERATOR, AND EXPRESSLY DISCLAIMS THAT ANY CONTENT, IMAGES OR INFORMATION RESULTING FROM OR RELATED TO YOUR USE OF MATERIAL GENERATOR IS ACCURATE OR RELIABLE OR CAN OR SHOULD BE RELIED UPON BY YOU FOR ANY PURPOSE.","Material Generator is a tool provided by Roblox as an option to access material creation features in Studio. BY PROCEEDING OR USING MATERIAL GENERATOR, YOU ACCEPT AND AGREE TO THE BELOW.

You remain responsible for ensuring that all language, data and other information that you upload to Roblox, and all images and other materials suggested by Material Generator, complies with the Roblox Terms of Use (the “Terms”) including the Roblox Community Standards. Material Generator is part of the “Services” as defined in the Terms. Accordingly, your use of Material Generator is subject to the Terms, including the Creator Terms and the Roblox Community Standards, and, among other things, you must (i) use Material Generator in a lawful manner and in compliance with all applicable laws, (ii) not reverse engineer, disassemble, decompile, or otherwise attempt to derive or gain access to Material Generator; and (iii) use Material Generator in a manner that does not infringe or attempt to infringe, misappropriate or otherwise violate any rights of Roblox or any other person or entity.

Due to its nature, Material Generator may generate irrelevant, inaccurate, offensive, or other material that is not useful for your purposes and that may be the same, similar, or different among users. Material Generator is not intended to provide factual information or advice. YOUR USE OF MATERIAL GENERATOR IS AT YOUR OWN RISK, AND MATERIAL GENERATOR IS PROVIDED “AS IS” AND WITHOUT CONDITION, WARRANTY, GUARANTEE OR REPRESENTATION OF ANY KIND, EXPRESS OR IMPLIED (INCLUDING WITHOUT LIMITATION, ANY WARRANTY OF MERCHANTABILITY, FITNESS FOR A PARTICULAR PURPOSE, TITLE, NON-INFRINGEMENT, AVAILABILITY, OR ERROR-FREE OR UNINTERRUPTED USE). ROBLOX MAKES NO WARRANTY ABOUT CONTENT OR MATERIALS ACCESSIBLE THROUGH OR FROM MATERIAL GENERATOR, AND EXPRESSLY DISCLAIMS THAT ANY CONTENT, IMAGES OR INFORMATION RESULTING FROM OR RELATED TO YOUR USE OF MATERIAL GENERATOR IS ACCURATE OR RELIABLE OR CAN OR SHOULD BE RELIED UPON BY YOU FOR ANY PURPOSE."
Studio.App.BetaFeatures.SelectionImprovementsTitle,,Selection Improvements,Selection Improvements
Studio.App.BetaFeatures.SelectionImprovementsDescription,,"Enables a new selection outline style, the ability to select objects that are behind other objects, a new option for showing bounding boxes, and a context menu item for selecting parents of objects.","Enables a new selection outline style, the ability to select objects that are behind other objects, a new option for showing bounding boxes, and a context menu item for selecting parents of objects."
Studio.App.Settings.FolderSelectionDialogTitle,,Select folder to save Roblox documents,Select folder to save Roblox documents
Studio.App.Settings.SelectFolderMessageBoxText,,"Need a location to store local files.
Do you want to pick a file path now?","Need a location to store local files.
Do you want to pick a file path now?"
Studio.App.PropertyEnum.Off,,Off,Off
Studio.App.PropertyEnum.None,,Disabled,Disabled
Studio.App.PropertyEnum.RmbScroll,,Right Mouse Button + Scroll,Right Mouse Button + Scroll
Studio.App.PropertyEnum.AltScroll,,Alt + Scroll,Alt + Scroll
Studio.App.BetaFeatures.CreateAnimationFromVideoTitle,,Live Animation Creator,Live Animation Creator
Studio.App.BetaFeatures.CreateAnimationFromVideoDescription,,"Animation clip editor will have a ""Live Animation Creator"" option in the Import menu to transfer 3D pose from a video to an avatar.","Animation clip editor will have a ""Live Animation Creator"" option in the Import menu to transfer 3D pose from a video to an avatar."
Studio.App.BetaFeatures.DragDetectorsTitle,,DragDetectors,DragDetectors
Studio.App.BetaFeatures.DragDetectorsDescription,,New Instance type DragDetector that enables click-drag-release interactions. Enabling this beta feature allows using DragDetectors only within Roblox Studio.,New Instance type DragDetector that enables click-drag-release interactions. Enabling this beta feature allows using DragDetectors only within Roblox Studio.
Studio.App.BetaFeatures.LuaConstraintToolTitle,,Improved Constraint Tool,Improved Constraint Tool
Studio.App.BetaFeatures.LuaConstraintToolDescription,,Quality of life improvements to the existing constraint tool that utilizes the new dragger improvements. Enabling this beta feature will automatically enable the 'Dragger QoL Improvements' beta feature.,Quality of life improvements to the existing constraint tool that utilizes the new dragger improvements. Enabling this beta feature will automatically enable the 'Dragger QoL Improvements' beta feature.
Studio.App.BetaFeatures.DraggerImprovementsTitle,,Dragger QoL Improvements,Dragger QoL Improvements
Studio.App.BetaFeatures.DraggerImprovementsDescription,,Many small quality of life improvements to the core Studio draggers. See the DevForum announcement for a full list of what's been changed.,Many small quality of life improvements to the core Studio draggers. See the DevForum announcement for a full list of what's been changed.
Studio.App.BetaFeatures.FacialAnimationRecordingTitle,,Face Capture,Face Capture
Studio.App.BetaFeatures.FacialAnimationRecordingDescription,,"Animation Editor will have a ""Face Capture"" button to use a camera to record your own face movements onto an avatar.","Animation Editor will have a ""Face Capture"" button to use a camera to record your own face movements onto an avatar."
Studio.App.BetaFeatures.ForumPostTitleEnding,,%1 is now enabled,%1 is now enabled
Studio.App.BetaFeatures.LuauNonStrictByDefaultTitle,,Scripts Are Non-Strict By Default,Scripts Are Non-Strict By Default
Studio.App.BetaFeatures.LuauNonStrictByDefaultDescription,,"Script analysis uses non-strict mode for all scripts by default. Use --!strict, --!nonstrict or --!nocheck to override mode on a per script basis.","Script analysis uses non-strict mode for all scripts by default. Use --!strict, --!nonstrict or --!nocheck to override mode on a per script basis."
Studio.App.BetaFeatures.LuauDCRTitle,,New Luau type solver,New Luau type solver
Studio.App.BetaFeatures.LuauDCRDescription,,Script analysis uses the new Luau type inference engine and type checker. Yields better error messages.,Script analysis uses the new Luau type inference engine and type checker. Yields better error messages.
Studio.App.BetaFeatures.AccessoryToolBetaTitle,,Accessory Fitting Tool,Accessory Fitting Tool
Studio.App.BetaFeatures.AccessoryToolBetaDescription,,Use Accessory Fitting Tool to edit caged clothing items as well as rigid accessories.,Use Accessory Fitting Tool to edit caged clothing items as well as rigid accessories.
Studio.App.BetaFeatures.RobloxClassicTitle,,Roblox Classic,Roblox Classic
Studio.App.BetaFeatures.RobloxClassicDescription,,Enable tools to create a Roblox Classic experience (R15 experience that plays like an R6).,Enable tools to create a Roblox Classic experience (R15 experience that plays like an R6).
Studio.App.BetaFeatures.R15MigratorTitle,,R6-to-R15 Conversion,R6-to-R15 Conversion
Studio.App.BetaFeatures.R15MigratorDescription,,"Enable tools to convert an R6 experience to R15. These include tools to convert characters, animations, and scripts from R6 to R15.","Enable tools to convert an R6 experience to R15. These include tools to convert characters, animations, and scripts from R6 to R15."
Studio.App.BetaFeatures.FacialAnimationBetaTitle,,Facial Animation,Facial Animation
Studio.App.BetaFeatures.FacialAnimationBetaDescription,,Enable the FaceControls instance which supports facial animation for avatars that have a dynamic-head.,Enable the FaceControls instance which supports facial animation for avatars that have a dynamic-head.
Studio.App.BetaFeatures.ProximityPromptTitle,,Proximity Prompt Beta,Proximity Prompt Beta
Studio.App.BetaFeatures.ProximityPromptDescription,,ProximityPrompt is a new instance type used to prompt the user for input so they can interact with an object in the 3D world.,ProximityPrompt is a new instance type used to prompt the user for input so they can interact with an object in the 3D world.
Studio.App.BetaFeatures.AdaptiveTimesteppingTitle,,Adaptive timestepping,Adaptive timestepping
Studio.App.BetaFeatures.AdaptiveTimesteppingDescription,,Adaptively take larger timesteps for individual solver islands when possible.,Adaptively take larger timesteps for individual solver islands when possible.
Studio.App.BetaFeatures.LuauDataModelAwarenessTitle,,Luau DataModel awareness,Luau DataModel awareness
Studio.App.BetaFeatures.LuauDataModelAwarenessDescription,,"When typechecking scripts, incorporate the shape of the game's DataModel","When typechecking scripts, incorporate the shape of the game's DataModel"
Studio.App.BetaFeatures.AcceleratedCollisionPipelineTitle,,Accelerated Collision Pipeline,Accelerated Collision Pipeline
Studio.App.BetaFeatures.AcceleratedCollisionPipelineDescription,,Enable Accelerated Collision Detection which improves collision performance for large assemblies.,Enable Accelerated Collision Detection which improves collision performance for large assemblies.
Studio.App.BetaFeatures.ImprovedInnerBoxTitle,,Improved Inner Box Avatar Collisions,Improved Inner Box Avatar Collisions
Studio.App.BetaFeatures.ImprovedInnerBoxDescription,,Enable a different algorithm for avatar Inner Box collision box sizing and positioning using margins around RigAttachment extents.,Enable a different algorithm for avatar Inner Box collision box sizing and positioning using margins around RigAttachment extents.
Studio.App.BetaFeatures.AssetImporterTitle,,New Mesh Importer,New Mesh Importer
Studio.App.BetaFeatures.AssetImporterDescription,,"Enable the new smart, unified Avatar and Mesh Importer","Enable the new smart, unified Avatar and Mesh Importer"
Studio.App.BetaFeatures.ParticleFlipbooksTitle,,Particle Flipbooks,Particle Flipbooks
Studio.App.BetaFeatures.ParticlFlipbooksDescription,,"Enables the new particle flipbook feature, allowing the use of animated textures on particles (needing a 1024x1024 grid-layout texture of individiual frames).","Enables the new particle flipbook feature, allowing the use of animated textures on particles (needing a 1024x1024 grid-layout texture of individiual frames)."
Studio.App.BetaFeatures.AerodynamicsTitle,,Aerodynamics,Aerodynamics
Studio.App.BetaFeatures.AerodynamicsDescription,,"This beta feature allows creators to incorporate aerodynamic forces on parts and their assemblies. Once enabled, creators will have access to the workspace enum 'FluidForces' allowing them to opt-into this new force model via toggling it to 'Experimental'. This feature also exposes the workspace property 'AirDensity', and the BasePart property 'EnableFluidForces' in the Studio UI.","This beta feature allows creators to incorporate aerodynamic forces on parts and their assemblies. Once enabled, creators will have access to the workspace enum 'FluidForces' allowing them to opt-into this new force model via toggling it to 'Experimental'. This feature also exposes the workspace property 'AirDensity', and the BasePart property 'EnableFluidForces' in the Studio UI."
Studio.App.BetaFeatures.UnifiedMeshMassTitle,,Improved Mass Properties,Improved Mass Properties
Studio.App.BetaFeatures.UnifiedMeshMassDescription,,Enable calculating masses for Mesh Parts and CSG Operations based on their Mesh instead of their Collision Fidelity. Old Mesh Parts and CSG Operations will not be affected until you change their Collision Fidelity. ,Enable calculating masses for Mesh Parts and CSG Operations based on their Mesh instead of their Collision Fidelity. Old Mesh Parts and CSG Operations will not be affected until you change their Collision Fidelity. 
Studio.App.BetaFeatures.CSG4StudioTitle,,Studio CSG Improvements,Studio CSG Improvements
Studio.App.BetaFeatures.CSG4StudioDescription,,"This beta feature improves the robustness and performance of CSG operations in Studio. These improvements are enabled when using the Solid modeling tools (Union, Intersect, Negate, Separate) or plugins that leverage the legacy CSG operation APIs (BasePart).","This beta feature improves the robustness and performance of CSG operations in Studio. These improvements are enabled when using the Solid modeling tools (Union, Intersect, Negate, Separate) or plugins that leverage the legacy CSG operation APIs (BasePart)."
Studio.App.BetaFeatures.LuauNativeCodegenTitle,,Luau Native Code,Luau Native Code
Studio.App.BetaFeatures.LuauNativeCodegenDescription,,Enable native code generation for Luau modules tagged with --!native.,Enable native code generation for Luau modules tagged with --!native.
Studio.App.BetaFeatures.NewExperiencesEnableTeamCreate,,New experiences enable Team Create,New experiences enable Team Create
Studio.App.BetaFeatures.NewExperiencesEnableTeamCreateDescNew,,New experiences created in Studio are immediately saved to Roblox and have Team Create enabled by default.,New experiences created in Studio are immediately saved to Roblox and have Team Create enabled by default.
Studio.App.RobloxInputConfigDialog.Shift,"The name of the Shift key, as it would appear on the user's keyboard.",Shift,Shift
Studio.App.RobloxInputConfigDialog.CapsLock,"The name of the Caps Lock key, as it would appear on the user's keyboard.",Caps Lock,Caps Lock
Studio.App.RobloxInputConfigDialog.Control,"The name of the Control key, as it would appear on the user's keyboard.",Control Ctrl,Control Ctrl
Studio.App.RobloxInputConfigDialog.Command,"The name of the MacOS Command key, as it would appear on the user's keyboard.",Command Cmd,Command Cmd
Studio.App.RobloxInputConfigDialog.Option,"The name of the Option key, as it would appear on the user's keyboard.",Option,Option
Studio.App.RobloxInputConfigDialog.Backspace,"The name of the Backspace key, as it would appear on the user's keyboard.",Backspace,Backspace
Studio.App.RobloxInputConfigDialog.Tab,"The name of the Tab key, as it would appear on the user's keyboard.",Tab,Tab
Studio.App.RobloxKeyboardConfig.ClearShortcut,,Clear Shortcut,Clear Shortcut
Studio.App.RobloxMouseConfig.ContextMenu,,Context Menu,Context Menu
Studio.App.RobloxMouseConfig.RightClick,,Right Click,Right Click
Studio.App.RobloxMouseConfig.RightClickShift,,Right Click + Shift,Right Click + Shift
Studio.App.RobloxMouseConfig.RightClickAlt,,Right Click + Alt,Right Click + Alt
Studio.App.RobloxMouseConfig.RightClickCtrl,,Right Click + Ctrl,Right Click + Ctrl
Studio.App.RobloxKeyboardConfigWidget.SearchActions,,Search Actions,Search Actions
Studio.App.RobloxKeyboardConfigWidget.Name,,Name,Name
Studio.App.RobloxKeyboardConfigWidget.Shortcut,,Shortcut,Shortcut
Studio.App.RobloxKeyboardConfigWidget.Description,,Description,Description
Studio.App.BetaFeatures.CanvasGroupTitle,,Canvas Group,Canvas Group
Studio.App.BetaFeatures.CanvasGroupDescription,,A new UI object that renders descendants as a single layer that can be tinted and made transparent.,A new UI object that renders descendants as a single layer that can be tinted and made transparent.
Studio.App.BetaFeatures.PathfindingLinksTitle,,Pathfinding Links,Pathfinding Links
Studio.App.BetaFeatures.PathfindingLinksDescription,,Pathfinding link can be used to connect areas in the place which otherwise are unconnected.,Pathfinding link can be used to connect areas in the place which otherwise are unconnected.
Studio.App.BetaFeatures.ScriptEditorApiTitle,,Script Editor API,Script Editor API
Studio.App.BetaFeatures.ScriptEditorApiDescription,,"Allow plugins to access the ScriptEditorService and ScriptDocument objects, permitting them to interact with an active editor.","Allow plugins to access the ScriptEditorService and ScriptDocument objects, permitting them to interact with an active editor."
Studio.App.BetaFeatures.OneClickCollaborateTitle,,One-click Collaborate Button,One-click Collaborate Button
Studio.App.BetaFeatures.OneClickCollaborateDescription,,"A new ""Collaborate"" button that enables you to immediately add, view, or manage collaborators and their permissions for your game. If collaborators are added, Team Create is turned on so that you can work together with your friends.","A new ""Collaborate"" button that enables you to immediately add, view, or manage collaborators and their permissions for your game. If collaborators are added, Team Create is turned on so that you can work together with your friends."
Studio.App.BetaFeatures.NotchedScreenSupportTitle,,Notched Screen Support,Notched Screen Support
Studio.App.BetaFeatures.NotchedScreenSupportDescription,,"Add new emulation devices with non-rectangular aka ""notched"" screens.","Add new emulation devices with non-rectangular aka ""notched"" screens."
Studio.App.BetaFeatures.NewExplorerFilteringTitle,,Advanced Explorer Filtering,Advanced Explorer Filtering
Studio.App.BetaFeatures.NewExplorerFilteringDescription,,"Search by properties, tags, parents, and more.","Search by properties, tags, parents, and more."
Studio.App.BetaFeatures.AICOTitle,,AI-Powered Code Completion,AI-Powered Code Completion
Studio.App.BetaFeatures.AICODescription,,"AI-Powered code completion in Studio Script Editor. Based on existing script and/or comments, AI code suggestion will be triggered automatically.","AI-Powered code completion in Studio Script Editor. Based on existing script and/or comments, AI code suggestion will be triggered automatically."
Studio.App.BetaFeatures.ConversationalAITitleUpdated2,,Assistant Preview,Assistant Preview
Studio.App.BetaFeatures.ConversationalAIDescriptionWithMaterials2,,"Enable an experimental AI-powered Assistant to help you create experiences faster by answering questions, generating and explaining code, and creating new materials.","Enable an experimental AI-powered Assistant to help you create experiences faster by answering questions, generating and explaining code, and creating new materials."
Studio.App.BetaFeatures.MultilayerWrapFixTitle,,Multilayer Wrap Fix,Multilayer Wrap Fix
Studio.App.BetaFeatures.MultilayerWrapFixDescription,,Outer layers of multilayer outfits will fit better with less distortion. Single layer outfits will be unaffected. Also faster.,Outer layers of multilayer outfits will fit better with less distortion. Single layer outfits will be unaffected. Also faster.
Studio.App.BetaFeatures.ShowTagsInPropertiesTitle,,Tags in Properties,Tags in Properties
Studio.App.BetaFeatures.ShowTagsInPropertiesDescription,,Tags for selected instances can now be added and removed from the properties panel.,Tags for selected instances can now be added and removed from the properties panel.
Studio.App.BetaFeatures.UGCBodiesAndHeadsTitle,,UGC Bodies & Heads,UGC Bodies & Heads
Studio.App.BetaFeatures.UGCBodiesAndHeadsDescription,,"Import UGC bodies and heads, preview them with the Avatar Previewer, and upload them to the Marketplace.","Import UGC bodies and heads, preview them with the Avatar Previewer, and upload them to the Marketplace."
Studio.App.BetaFeatures.CustomVideoUploadTitle,,Video Uploads,Video Uploads
Studio.App.BetaFeatures.CustomVideoUploadDescription,,Enables video uploads through the Asset Manager for eligible users.,Enables video uploads through the Asset Manager for eligible users.
Studio.App.BetaFeatures.LuaCharacterControllerTitle,,Character movement abilities framework,Character movement abilities framework
Studio.App.BetaFeatures.LuaCharacterControllerDescription,,"A Lua based replacement for the default animate script and the built-in Humanoid State Machine that provides new built-in abilities and other enhancements to character movement over time. This beta adds a Lua State Machine, Lua Motion Compositor, and Lua Abilities framework to the default avatar along with a new movement ability - crouching. It also enhances existing locomotion with new animations and fidelity improvements such as foot-planting. These can be modified using the ability configuration settings via Lua and custom attributes.","A Lua based replacement for the default animate script and the built-in Humanoid State Machine that provides new built-in abilities and other enhancements to character movement over time. This beta adds a Lua State Machine, Lua Motion Compositor, and Lua Abilities framework to the default avatar along with a new movement ability - crouching. It also enhances existing locomotion with new animations and fidelity improvements such as foot-planting. These can be modified using the ability configuration settings via Lua and custom attributes."
Studio.App.BetaFeatures.ChromeTitle,,Updated Roblox Controls,Updated Roblox Controls
Studio.App.BetaFeatures.ChromeDescription,,Enables a new modernized Roblox Menu and related APIs for more seamless UI placement of key system controls.,Enables a new modernized Roblox Menu and related APIs for more seamless UI placement of key system controls.
Studio.App.BetaFeatures.NewBaseMaterialsTitle,,New Base Materials,New Base Materials
Studio.App.BetaFeatures.NewBaseMaterialsDescription,,Adds 8 new base materials.,Adds 8 new base materials.
Studio.App.BetaFeatures.NewCameraControlsTitle,,New Studio Camera Controls,New Studio Camera Controls
Studio.App.BetaFeatures.NewCameraControlsDescription,,Enables improved camera controls for Studio.,Enables improved camera controls for Studio.
Studio.App.BetaFeatures.EditableImageMeshTitle,,EditableImage and EditableMesh,EditableImage and EditableMesh
Studio.App.BetaFeatures.EditableImageMeshDescription,,Enables the new EditableImage and EditableMesh instances which allow the runtime creation and editing of Images and Meshes,Enables the new EditableImage and EditableMesh instances which allow the runtime creation and editing of Images and Meshes
Studio.App.BetaFeatures.GrassLengthCustomizationTitle,,Grass Length Customization,Grass Length Customization
Studio.App.BetaFeatures.GrassLengthCustomizationDescription,,Enables customization of terrain grass length in Studio.,Enables customization of terrain grass length in Studio.
Studio.App.BetaFeatures.AudioWiringApiTitle,,New Audio API,New Audio API
Studio.App.BetaFeatures.AudioWiringApiDescription,,"Enables new instances for customizing, processing, and routing sounds or voices within the engine","Enables new instances for customizing, processing, and routing sounds or voices within the engine"
Studio.App.BetaFeatures.NewDockingTitle,,Updated Docking System,Updated Docking System
Studio.App.BetaFeatures.NewDockingDescription,,"New docking logic that allows undocking of the 3D Viewport and addresses docking corruption glitches and issues. Please note when enabled, this will start with a new layout. Your old layout will be restored if you disable this feature.","New docking logic that allows undocking of the 3D Viewport and addresses docking corruption glitches and issues. Please note when enabled, this will start with a new layout. Your old layout will be restored if you disable this feature."
Studio.App.BetaFeatures.StudioNotifications,,Notification Overhaul,Notification Overhaul
Studio.App.BetaFeatures.StudioNotificationsDescription,,Improves UI and expands functionality of Studio Notifications,Improves UI and expands functionality of Studio Notifications
Studio.App.BetaFeatures.UIListLayoutFlexTitle,,UIListLayout Flex Features,UIListLayout Flex Features
Studio.App.BetaFeatures.UIListLayoutFlexDescription,,Add flexible layout options to UIListLayout.,Add flexible layout options to UIListLayout.
Studio.App.BetaFeatures.TerrainEditorTitle,,Terrain Editor,Terrain Editor
Studio.App.BetaFeatures.TerrainEditorDescription,,Updates the Terrain Editor with a new and improved UI.,Updates the Terrain Editor with a new and improved UI.
Studio.App.BetaFeatures.AutoSetupTitle,,Avatar Auto-Setup Beta,Avatar Auto-Setup Beta
Studio.App.BetaFeatures.AutoSetupDescription,,Enables automated creation of avatars from single-mesh 3D models of humanoid-like bodies. Marketplace submission of auto-setup created avatars is enabled in this version.,Enables automated creation of avatars from single-mesh 3D models of humanoid-like bodies. Marketplace submission of auto-setup created avatars is enabled in this version.
Studio.App.BetaFeatures.AutoSetupTermsAndConditions,Terms and conditions for being able to use Avatar Auto-Setup,"Please view the Terms and Conditions at the link below:

https://en.help.roblox.com/hc/articles/20121392440212","Please view the Terms and Conditions at the link below:

https://en.help.roblox.com/hc/articles/20121392440212"
Studio.App.BetaFeatures.FasterPlaySoloTitle,,Faster Play Solo,Faster Play Solo
Studio.App.BetaFeatures.FasterPlaySoloDescription,,Streamlines Play Solo for faster loading performance.,Streamlines Play Solo for faster loading performance.
Studio.App.BetaFeatures.TextureGeneratorTitle,,Texture Generator,Texture Generator
Studio.App.BetaFeatures.TextureGeneratorDescription,,Enables AI-powered texture generation for mesh parts in Studio.,Enables AI-powered texture generation for mesh parts in Studio.
Studio.App.BetaFeatures.TextureGeneratorTermsAndConditions,Terms and conditions for being able to use the AI Texture Generator,"Please view the Terms and Conditions at the link below:

https://en.help.roblox.com/hc/articles/20121392440212","Please view the Terms and Conditions at the link below:

https://en.help.roblox.com/hc/articles/20121392440212"
Studio.App.BetaFeatures.SimulationPauseAndStepTitle,,Simulation Pause and Step,Simulation Pause and Step
Studio.App.BetaFeatures.SimulationPauseAndStepDescription,,"Enables visual pausing, stepping, and simulation debugging at studio run time.","Enables visual pausing, stepping, and simulation debugging at studio run time."
Studio.App.BetaFeatures.UnifiedLightingTitle,,Unified Lighting,Unified Lighting
Studio.App.BetaFeatures.UnifiedLightingDescription,,"Enables Unified lighting model which replaces Voxel, Shadowmap and Future by adjusting technology at runtime.","Enables Unified lighting model which replaces Voxel, Shadowmap and Future by adjusting technology at runtime."
Studio.App.BetaFeatures.MaterialPickerTitle,,Material Picker,Material Picker
Studio.App.BetaFeatures.MaterialPickerDescription,,Adds a new Material button to the Home and Edit tabs to quickly change materials.,Adds a new Material button to the Home and Edit tabs to quickly change materials.
Studio.App.BetaFeatures.UIDragDetectorTitle,,UIDragDetectors,UIDragDetectors
Studio.App.BetaFeatures.UIDragDetectorDescription,,New Instance type UIDragDetector that enables click-drag-release interactions for UI Elements. Enabling this beta feature allows adding and using UIDragDetectors only within Roblox Studio.,New Instance type UIDragDetector that enables click-drag-release interactions for UI Elements. Enabling this beta feature allows adding and using UIDragDetectors only within Roblox Studio.
Studio.App.BetaFeatures.NextGenStudioTitle,"The title for the preview version of the ""Next Gen Studio"" feature",Next Gen Studio Preview,Next Gen Studio Preview
Studio.App.BetaFeatures.NextGenStudioDescription,"Description for the checkbox to enable the ""Next Gen Studio"" feature which updates many pieces of the core studio UI","Enable the preview of Next Gen Studio core - introducing system menus, new categorization and look & feel of the top toolbar, upcoming customization features.","Enable the preview of Next Gen Studio core - introducing system menus, new categorization and look & feel of the top toolbar, upcoming customization features."
Studio.App.BetaFeatures.LuaExplorerTitle,"The title for the ""Next Gen Explorer"" beta feature",Next Gen Explorer,Next Gen Explorer
