Key,en-us
Studio.AssetImporter.Properties.CageMeshIntersectedPreview,Cage vertices intersects clothing
Studio.AssetImporter.Properties.CageNonManifoldPreview,Non-Manifold Geometry
Studio.AssetImporter.Properties.CageOverlappingVerticesPreview,Coincident Vertices
Studio.AssetImporter.Properties.CageUVMisMatchedPreview,Modified UV map
Studio.AssetImporter.Properties.DiffuseFilePath,Diffuse File Path
Studio.AssetImporter.Properties.Dimensions,Object Dimensions
Studio.AssetImporter.Properties.DoubleSided,Make Double Sided
Studio.AssetImporter.Properties.ExistingPackageId,Update Package ID
Studio.AssetImporter.Properties.FileDimensions,File Dimensions
Studio.AssetImporter.Properties.FilePath,File Path
Studio.AssetImporter.Properties.IgnoreVertexColors,Ignore Vertex Colors
Studio.AssetImporter.Properties.ImportAsModelAsset,Import Only as a Model
Studio.AssetImporter.Properties.ImportAsPackage,Import as Package
Studio.AssetImporter.Properties.ImportName,Name
Studio.AssetImporter.Properties.InsertInWorkspace,Insert In Workspace
Studio.AssetImporter.Properties.InsertWithScenePosition,Insert Using Scene Position
Studio.AssetImporter.Properties.InvertNegativeFaces,Invert Negative Faces
Studio.AssetImporter.Properties.IrrelevantCageModifiedPreview,Unnecessary cage edits
Studio.AssetImporter.Properties.MergeMeshes,Merge Meshes
Studio.AssetImporter.Properties.MeshHoleDetectedPreview,Not watertight
Studio.AssetImporter.Properties.MetalnessFilePath,Metalness File Path
Studio.AssetImporter.Properties.NoFilePath,No file provided
Studio.AssetImporter.Properties.NormalFilePath,Normal File Path
Studio.AssetImporter.Properties.OuterCageFarExtendedFromMeshPreview,Outer cage extends too far
Studio.AssetImporter.Properties.PolygonCount,Polygon Count
Studio.AssetImporter.Properties.RestPose,Rest Pose Animation
Studio.AssetImporter.Properties.RigScale,Rig Scale
Studio.AssetImporter.Properties.RigType,Rig Type
Studio.AssetImporter.Properties.RigVisualization,Rig Visualization
Studio.AssetImporter.Properties.RoughnessFilePath,Roughness File Path
Studio.AssetImporter.Properties.ScaleUnit,Scale Unit
Studio.AssetImporter.Properties.UseImportedPivot,Use Imported Pivot
Studio.AssetImporter.Properties.UseSceneOriginAsCFrame,Preserve Scene Origin
Studio.AssetImporter.Properties.UseSceneOriginAsPivot,Set Pivot to Scene Origin
Studio.AssetImporter.Properties.UsesCages,Uses Cages
Studio.AssetImporter.Properties.ValidateUgcBody,Validate UGC Body
Studio.AssetImporter.Properties.WorldForward,World Forward
Studio.AssetImporter.Properties.WorldUp,World Up
Studio.AssetImporter.PropertiesTooltip.AddModelToInventory,Whether to add the scene to your Assets inventory as a Model
Studio.AssetImporter.PropertiesTooltip.Anchored,If this object should be anchored
Studio.AssetImporter.PropertiesTooltip.AnimationIdForRestPose,Rest pose is inferred from first frame in the selected animation
Studio.AssetImporter.PropertiesTooltip.CageMeshIntersectedPreview,"There are cage vertices intersecting with the clothing mesh, which could lead to interpenetration issues."
Studio.AssetImporter.PropertiesTooltip.CageNonManifoldPreview,"This cage has non-manifold geometry, which can cause deformation issues. Non-manifold area is marked in the preview render"
Studio.AssetImporter.PropertiesTooltip.CageOverlappingVerticesPreview,"Multiple vertices share identical or near-identical positions, which can cause deformation issues, and they are marked in the preview render"
Studio.AssetImporter.PropertiesTooltip.CageUVMisMatchedPreview,"For this asset to be Layered Clothing compatible, you need to use the original cage template and ensure that you do not modify the UV map."
Studio.AssetImporter.PropertiesTooltip.DiffuseFilePath,The file path of the diffuse map. The diffuse map is an RGB[A] image used to determine the base color of the surface
Studio.AssetImporter.PropertiesTooltip.Dimensions,The size of the given object in studs
Studio.AssetImporter.PropertiesTooltip.DoubleSided,Whether or not vertices should be one sided (you can see through them from one direction) or double sided (opaque from both directions)
Studio.AssetImporter.PropertiesTooltip.ExistingPackageId,Imports the file as a new version of the given package. Leave blank to create a new package.
Studio.AssetImporter.PropertiesTooltip.FileDimensions,The size of the extents of the file in studs
Studio.AssetImporter.PropertiesTooltip.IgnoreVertexColors,Whether or not vertex color information should be extracted
Studio.AssetImporter.PropertiesTooltip.ImportAsModelAsset,Controls whether individual MeshParts are imported as separate assets in addition to being grouped into a model
Studio.AssetImporter.PropertiesTooltip.ImportAsPackage,Whether to create/update a package using the incoming scene
Studio.AssetImporter.PropertiesTooltip.ImportName,The name of the object
Studio.AssetImporter.PropertiesTooltip.InsertInWorkspace,If this object should be inserted into the workspace after import
Studio.AssetImporter.PropertiesTooltip.InsertWithScenePosition,If this object should be inserted using its location in the imported scene
Studio.AssetImporter.PropertiesTooltip.InvertNegativeFaces,Whether or not to flip negative faces
Studio.AssetImporter.PropertiesTooltip.IrrelevantCageModifiedPreview,Some outer cage geometry that is far away from the clothing mesh has been modified. This will lead to issues when other clothing is layered on top.
Studio.AssetImporter.PropertiesTooltip.MergeMeshes,Combine sub meshes into one mesh
Studio.AssetImporter.PropertiesTooltip.MeshHoleDetectedPreview,"This mesh is not watertight, meaning there is an unexpected number of holes in it in it. If this is a clothing mesh, this can impact Hidden Surface Removal. If this is a different type of mesh, this may have some unexpected rendering effect."
Studio.AssetImporter.PropertiesTooltip.MetalnessFilePath,The file path of the metalness map. The metalness map is a grayscale image used to determine how metallic a surface should look
Studio.AssetImporter.PropertiesTooltip.NormalFilePath,The file path of the normal map. The normal map is an RGB image used to enhance surface details for lighting
Studio.AssetImporter.PropertiesTooltip.OuterCageFarExtendedFromMeshWarning,There are outer cage vertex(s) that are too far away from the clothing mesh. This will lead to issues when other clothing is layered on top.
Studio.AssetImporter.PropertiesTooltip.PolygonCount,The total count of polygons in this object
Studio.AssetImporter.PropertiesTooltip.RestPose,Animation used to infer rest pose from its first frame
Studio.AssetImporter.PropertiesTooltip.RigScale,The scale of the R15
Studio.AssetImporter.PropertiesTooltip.RigType,The type of Rig to import
Studio.AssetImporter.PropertiesTooltip.RoughnessFilePath,The file path of the roughness map. The roughness map is a grayscale image used to determine how light should be reflected off a surface
Studio.AssetImporter.PropertiesTooltip.ScaleUnit,The scale used when exporting the file
Studio.AssetImporter.PropertiesTooltip.UseImportedPivot,Whether or not to use the pivot defined in the scene file (instead of centering the pivot within the object's geometry)
Studio.AssetImporter.PropertiesTooltip.UseSceneOriginAsCFrame,If the model's CFrame should be set at the imported scene's origin
Studio.AssetImporter.PropertiesTooltip.UseSceneOriginAsPivot,If the model's pivot point should be set at the imported scene's origin
Studio.AssetImporter.PropertiesTooltip.UsesCages,Find meshes with cage names and convert them to Wrap instances
Studio.AssetImporter.PropertiesTooltip.ValidateUgcBody,Inserts imported model in Workspace and opens Avatar Setup to run UGC validation
Studio.AssetImporter.PropertiesTooltip.WorldForward,The file's forward vector
Studio.AssetImporter.PropertiesTooltip.WorldUp,The file's up vector
Studio.AssetImporter.Sections.AnimationGeneral,Animation General
Studio.AssetImporter.Sections.AvatarGeneral,Avatar General
Studio.AssetImporter.Sections.FileGeneral,File General
Studio.AssetImporter.Sections.FileGeometry,File Geometry
Studio.AssetImporter.Sections.FileTransform,File Transform
Studio.AssetImporter.Sections.ObjectGeneral,Object General
Studio.AssetImporter.Sections.ObjectGeometry,Object Geometry
Studio.AssetImporter.Sections.RigGeneral,Rig General
Studio.AssetImporter.Statuses.AnimationInPackageWarning,Animations currently will not be included in the final package.
Studio.AssetImporter.Statuses.AvatarCagesMissingWarning,Corresponding cage mesh is missing for this mesh. All R15 Body Parts must have a cage.
Studio.AssetImporter.Statuses.CageHasMaterialWarning,Material(s) found under this cage mesh will be ignored. Materials cannot be applied to CageWrap instances.
Studio.AssetImporter.Statuses.CageMeshIntersectedWarning,"There are cage vertices intersecting with the clothing mesh, which could lead to interpenetration issues."
Studio.AssetImporter.Statuses.CageMismatchWarning,The number of cage vertices between the outer and inner cage don't match.
Studio.AssetImporter.Statuses.CageNameHasTypoV1Warning1,"Cage name contains a typo, try renaming to {SuggestedName}."
Studio.AssetImporter.Statuses.CageNameHasTypoWarning,"Cage name contains a typo, try renaming to {name}."
Studio.AssetImporter.Statuses.CageNameHasTypoWarning1,"Cage name contains a typo, try renaming to {name}."
Studio.AssetImporter.Statuses.CageNameHasTypoWarning_v1,"Cage name contains a typo, try renaming to {SuggestedName}."
Studio.AssetImporter.Statuses.CageNoGeoParentError,"Couldn't find geometry for cage, check your mesh names and spelling."
Studio.AssetImporter.Statuses.CageNonManifoldWarning,"This cage has non-manifold geometry, which can cause deformation issues. Non-manifold area is marked in the preview render."
Studio.AssetImporter.Statuses.CageOverlappingVerticesWarning,"Multiple vertices share identical or near-identical positions, which can cause deformation issues, and they are marked in the preview render."
Studio.AssetImporter.Statuses.CageUVMisMatchedWarning,"For this asset to be Layered Clothing compatible, you need to use the original cage template and ensure that you do not modify the UV map."
Studio.AssetImporter.Statuses.CantImportAvatarGltfsWarning,This file looks like it contains rigging data (Bones/Animations/Skinning). The importer does not yet support rigging in gLTF files.
Studio.AssetImporter.Statuses.CantImportScaleOrWeightAnimationsWarning,This file looks like it contains scale or weight animations. The importer does not support these animation types so your animations may not work as expected.
Studio.AssetImporter.Statuses.CouldNotReadDiffuseError,Could not read the diffuse texture file associated with this object.
Studio.AssetImporter.Statuses.CouldNotReadMetalnessError,Could not read the metalness texture file associated with this object.
Studio.AssetImporter.Statuses.CouldNotReadNormalError,Could not read the normal texture file associated with this object.
Studio.AssetImporter.Statuses.CouldNotReadRoughnessError,Could not read the roughness texture file associated with this object.
Studio.AssetImporter.Statuses.CouldNotReadTextureError,Could not read the texture file associated with this object.
Studio.AssetImporter.Statuses.DefaultError,Import experienced a {type} error.
Studio.AssetImporter.Statuses.DefaultError1,Import experienced a {type} error.
Studio.AssetImporter.Statuses.DefaultWarning1,Import experienced a {type} warning.
Studio.AssetImporter.Statuses.DefaultWarnings,Import experienced a {type} warning.
Studio.AssetImporter.Statuses.DefaultWarnings1,Import experienced a {type} warning.
Studio.AssetImporter.Statuses.DeletedCageGeometryWarning,Some cage geometry has been removed. This will result in layering issues.
Studio.AssetImporter.Statuses.DiffuseBadFileFormatError,Unsupported diffuse texture file format.
Studio.AssetImporter.Statuses.FacsCorrectiveDupeError3,Found duplicate FACS control name "{FacsDupeName}" for corrective "{FacsControlName}" in attribute "{FrameAttr}"
Studio.AssetImporter.Statuses.FacsDupeControlError3,Duplicate control name found: "{FacsControlName}" in frame {FrameNumber1} and frame {FrameNumber2}
Studio.AssetImporter.Statuses.FacsEmptyAttributeWarning1,Empty value found for attribute "{FrameAttr}".  Ignoring this.
Studio.AssetImporter.Statuses.FacsFrameAttrNotStringError1,"{FrameAttr}" attribute must be of type string
Studio.AssetImporter.Statuses.FacsFrameExtraCharsWarning1,Ignoring {FrameAttr} because it contains underscores or spaces.  Must be of the form "Frame#" where "#" is an integer with no spaces or underscores.
Studio.AssetImporter.Statuses.FacsHasFramesNoRootFaceJointError1,Found "Frame#" attributes in mesh "{ParentNodeName}" but no "RootFaceJoint" attribute.  No FACS mapping will be created for this mesh.
Studio.AssetImporter.Statuses.FacsIncompletePosesWarning1,Found only {Size} base poses. You character may not be able to express itself.
Studio.AssetImporter.Statuses.FacsInvalidCorrectiveError2,Invalid corrective name "{FacsControlName}" for attribute"{FrameAttr}": Neutral cannot be part of a corrective
Studio.AssetImporter.Statuses.FacsMax3CorrectivesError3,Correctives can be for at most 3 control names.  Found {Size} for attribute "{FrameAttr}": "{FacsControlName}"
Studio.AssetImporter.Statuses.FacsMissingBaseError2,"{FacsControlName}" has not been specified. This is needed for corrective "{FacsControlName2}".
Studio.AssetImporter.Statuses.FacsMissingKeyFrameError2,Animation has no frame {FrameNumber1} for "{FacsControlName}".
Studio.AssetImporter.Statuses.FacsMissingSupportCorrectiveWarning2,Found corrective "{FacsControlName}" but missing corrective "{FacsControlName2}" to support it.  This may cause odd deformations.
Studio.AssetImporter.Statuses.FacsMultipleAnimationStackWarning,Found multiple animation stacks in FBX file.  Using the first one for extract FACS controls.
Studio.AssetImporter.Statuses.FacsMultipleRootFaceJoints1,Multiple joints named "{JointName}" were found as specified by extra attribute "RootFaceJoint".  Joint names must be unique.
Studio.AssetImporter.Statuses.FacsMultipleRootFaceJointsError1,Multiple joints named "{JointName}" were found as specified by extra attribute "RootFaceJoint".  Joint names must be unique.
Studio.AssetImporter.Statuses.FacsNearNeutralWarning1,Control {FacsControlName} is nearly identical to Neutral.
Studio.AssetImporter.Statuses.FacsNoAnimationStackError,No animation timeline found in FBX file.
Studio.AssetImporter.Statuses.FacsNoAttributesError1,"{ParentNodeName}" has no "Frame#" attributes that map FACS controls to animation frames.
Studio.AssetImporter.Statuses.FacsNoFaceControlsAllowedError,FaceControls cannot be imported.  Uncheck this item.
Studio.AssetImporter.Statuses.FacsNoJointsError1,No joints were found under "{JointName}".
Studio.AssetImporter.Statuses.FacsNoJointsErrors1,No joints were found under "{JointName}".
Studio.AssetImporter.Statuses.FacsNoNeutralError,No frame was set to "Neutral" in animation.
Studio.AssetImporter.Statuses.FacsNoRootFaceJoint1,No joint named "{JointName}" found as specified by extra attribute "RootFaceJoint".
Studio.AssetImporter.Statuses.FacsNoRootFaceJointError1,No joint named "{JointName}" found as specified by extra attribute "RootFaceJoint".
Studio.AssetImporter.Statuses.FacsOnlyNeutralError,Only "Neutral" pose exists.  No facial expressions possible.
Studio.AssetImporter.Statuses.FacsRootFaceJointExtraCharsError1,"{FacsControlName}" must be exactly "RootFaceJoint" with no spaces or underscores.
Studio.AssetImporter.Statuses.FacsRootFaceJointNoValueError,RootFaceJoint attribute has no value
Studio.AssetImporter.Statuses.FacsRootFaceJointNotStringError,RootFaceJoint attribute must be of type string
Studio.AssetImporter.Statuses.FacsUnparseableFrameNumberError1,Couldn't parse the frame number in attribute "{FrameAttr}".
Studio.AssetImporter.Statuses.FacsUnrecognizedFACSError2,Unrecognized FACS control name "{FacsControlName}" for attribute "{FrameAttr}"
Studio.AssetImporter.Statuses.IncorrectR15Warning,This rig does not follow the guidelines of chosen rig type.
Studio.AssetImporter.Statuses.InnerButNoOuterCageWarning,Inner Cage has no corresponding Outer Cage.
Studio.AssetImporter.Statuses.IrrelevantCageModifiedWarning,Some outer cage geometry that is far away from the clothing mesh has been modified. This will lead to issues when other clothing is layered on top.
Studio.AssetImporter.Statuses.MaterialIgnoredWarning,The material included with this object is currently unsupported.
Studio.AssetImporter.Statuses.MeshHoleDetectedWarning,"This mesh is not watertight, meaning there is an unexpected number of holes in it in it. If this is a clothing mesh, this can impact Hidden Surface Removal. If this is a different type of mesh, this may have some unexpected rendering effect."
Studio.AssetImporter.Statuses.MeshScaleWarning,One of the objects dimensions are larger than can be imported.
Studio.AssetImporter.Statuses.MeshSizeWarning,The number of triangles is greater than is supported. Object will be simplified.
Studio.AssetImporter.Statuses.MetalnessBadFileFormatError,Unsupported metalness texture file format.
Studio.AssetImporter.Statuses.NoRefMeshForCageWarning,Could not find corresponding Geo Mesh for Cage Mesh.
Studio.AssetImporter.Statuses.NoRefMeshForCageWarningWithSuggestion,Could not find corresponding Geo Mesh for Cage Mesh. Try renaming to {name}.
Studio.AssetImporter.Statuses.NoRefMeshForCageWarningWithSuggestion_v1,Could not find corresponding Geo Mesh for Cage Mesh. Try renaming to {SuggestedName}.
Studio.AssetImporter.Statuses.NoRefMeshForCageWithSuggestionV1Warning1,Could not find corresponding Geo Mesh for Cage Mesh. Try renaming to {SuggestedName}.
Studio.AssetImporter.Statuses.NoRefMeshForCageWithSuggestionWarning1,Could not find corresponding Geo Mesh for Cage Mesh. Try renaming to {name}.
Studio.AssetImporter.Statuses.NoValidParentError,Incompatible with current parent. Please note textures cannot be under attachment or cage meshes.
Studio.AssetImporter.Statuses.NormalBadFileFormatError,Unsupported normal texture file format.
Studio.AssetImporter.Statuses.OuterCageBloatingWarning,The average distance between the clothing and outer cage is too large. This will lead to bloating issues when other clothing is layered on top.
Studio.AssetImporter.Statuses.OuterCageFarExtendedFromMeshWarning,There are outer cage vertex(s) that are too far away from the clothing mesh. This will lead to issues when other clothing is layered on top.
Studio.AssetImporter.Statuses.RoughnessBadFileFormatError,Unsupported roughness texture file format.
Studio.AssetImporter.Statuses.TextureBadFileFormatError,Unsupported texture file format.
Studio.AssetImporter.Statuses.UGCExceedTextureSizeWarning,Textures exceeds the max texture size limit for UGC upload requirements.
Studio.AssetImporter.Statuses.UGCExceedUVSpaceWarning,Mesh has UVs defined outside 0-1 space. This can lead to texturing discrepancies and violates UGC upload requirements.
Studio.AssetImporter.Statuses.UGCMaxMeshTrianglesWarning,Mesh exceeds the max triangle limit (4000) for UGC upload requirements.
Studio.AssetImporter.Statuses.UGCMeshVertColorsWarning,"Mesh has non-white vertex color values, which violates UGC upload requirements"
Studio.AssetImporter.Statuses.UnsupportedPreviewTextureType,".tga and .gif are not fully supported. They may not be visible in previews, and in some cases may cause the upload to fail, but they'll appear if the upload succeeds. You may convert them to a different file type such as .png or .jpg to view them in the preview window."
Studio.AssetImporter.Statuses.UnsupportedPreviewTextureTypeWarning,".tga and .gif are not fully supported. They may not be visible in previews, and in some cases may cause the upload to fail, but they'll appear if the upload succeeds. You may convert them to a different file type such as .png or .jpg to view them in the preview window."
Studio.AssetImporter.Statuses.ValidateUgcButNoInsertError,Please enable "Insert In Workspace" to open the Avatar Setup after import.
Studio.AssetImporter.Templates.Default,Default
Studio.AssetImporter.Templates.Delete,Delete
Studio.AssetImporter.Templates.LastImportTooltip,Root settings from the last time you imported a file
Studio.AssetImporter.Templates.LastImported,Last Imported
Studio.AssetImporter.Templates.MenuTooltip,Preset Actions
Studio.AssetImporter.Templates.ModifiedTemplateTooltip,You have made some changes based on the settings from your last imported file
Studio.AssetImporter.Templates.NewPreset,New Preset
Studio.AssetImporter.Templates.OverwritingReservedName1,{name} is the name of a standard preset. Please choose a different name.
Studio.AssetImporter.Templates.PresetNameOverwriteWarning,Saving will overwrite the existing configuration of this preset.
Studio.AssetImporter.Templates.PresetsRemaining2,{presetsRemaining}/{totalPresets} preset slot(s) left.
Studio.AssetImporter.Templates.Rename,Rename
Studio.AssetImporter.Templates.Reset,Reset
Studio.AssetImporter.Templates.ResetTooltip,Reset settings back to selected template
Studio.AssetImporter.Templates.SaveChanges,Save changes
Studio.AssetImporter.Templates.SaveNewPreset,Save as new preset
Studio.AssetImporter.Templates.SetAsDefault,Set preset as my default
Studio.AssetImporter.Templates.StudioDefault,Studio Default
Studio.AssetImporter.Templates.TooManyPresets,No preset slots are left. Please delete or edit one of your other presets.
Studio.AssetImporter.Templates.WindowTitleNewPreset,Create new preset
Studio.AssetImporter.Templates.WindowTitleRenamePreset,Rename preset
Studio.AssetImporter.TreeViewToolbar.Collapse,Collapse
Studio.AssetImporter.TreeViewToolbar.Expand,Expand
Studio.AssetImporter.Upload.Failure,Import failed
Studio.AssetImporter.Upload.FailureDescription,Reason:
Studio.AssetImporter.Upload.FailureDescriptionNoError,Something went wrong. Please try again.
Studio.AssetImporter.Upload.Success,Successfully Imported!
Studio.AssetImporter.Upload.SuccessDescription,You may find your asset in Toolbox or Asset Manager.
Studio.AssetImporter.Upload.Uploading,Uploading
Studio.AssetImporter.Upload.WindowTitle,Importing
